20090128183532AAW1BCZ	Yahoo! Products;Yahoo! Answers	Why did my question to the president get deleted?	My question about ice driving just deleted all by itself
20090128183523AAReUxN	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How do I change my Yahoo password?	Just need a change feeling vulnerable
20090128183903AAYTg23	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I got an email telling me to fill out info on my account or it would be canceld is this right?	The email that I got said that I had to give my name, where I live, my password and user name or my account would be shut off in 48 hours. What I'm wanting to know is if this is real or some one trying to get my info???
20090128184942AAPLIl8	Yahoo! Products;Yahoo! Answers	HELP! SHPPING HELP!!!! PLEASE TEN POINTS BEST ANSWER!?	Okay Im supposed to get a desk sometime soon and the status reads Chipped from kansas city, so do you think it would come tomorrow i live in southern california  and its stnadard shipping.
20090128184355AAVzeKj	Yahoo! Products;Yahoo! Mail;Personalization	Trying to make japanese email?	Its asking too Register Mail Address and I don't get it, i put in a few names and a few fake japanese Homes and it still aint working ! Someone Please Help im going nuts>.
20090128184855AAdMYz0	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	I checked my mail about 3 months back and now I am unable to check it as just before that I changed my?	password and other details and have forgotten . How can I retrieve it again?
20090128185254AAHGU6Z	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Yahoo Messenger keeps asking to add myself! I cant stop it!?	I added myself on yahoo messenger and now every time i log in it keeps sending me a request to add myself! then it sometimes deletes the people i added! i tried reinstalling it. I need help :(!
20090128192247AAbuf5l	Yahoo! Products;Other - Yahoo! Products	How can i change my yahoo avatar to 1 from google...10 points 4 best =] thx!?	N/A
20090128193609AA2UONl	Yahoo! Products;Yahoo! Answers	Questions won't show up I don't think/they don't get answers, how do i overcome this?	N/A
20090128195056AAIkRuO	Yahoo! Products;Yahoo! Answers	10 points 2 anybody who can post link picture of what charcol drink looks like stuff have take u overdossed ?	bugging me pretty police needs no tar yoo upp i kool
20090128194103AAE8a3w	Yahoo! Products;Yahoo! Messenger;User Profiles	Can i use a different picture for my profile or do i have to use the stupid avatar?	N/A
20090128195720AAaKwvM	Yahoo! Products;Yahoo! Answers	This is going to sound stupid but how do you post a link in yahoo answers haha?	N/A
20090128185746AA2tPpI	Yahoo! Products;Yahoo! Answers	What are points on Yahoo?	What are points? How do you gain them? And what do you use them for other then asking questions?
20090128185739AAvL10N	Yahoo! Products;Yahoo! Answers	Get answers from millions of real people.?	I need a current pdf document that tells how to use CPR in conjuntion with the AED.  Thanks
20090128190407AAYzsZG	Yahoo! Products;Yahoo! Widgets;Other - Yahoo! Widgets	Where do I find a smiley?	How do I insert it into an Email?
20090128191722AA553AN	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Why can't I access my bank account?	Up until this week I could access my bank web site now it will not connect. I can access all other web addresses. There is no know problem at the banks web site.
20090128191803AA5bVUp	Yahoo! Products;Yahoo! Toolbar	My tool bar went up and i cant get it too stay back down?	my tool bars went off the screen and i dont know how to get them back down. aslo my icon's on my home page got way bigger and i cant get them to there origianal size.   can someone tell me what to do
20090128192802AAnQcJ4	Yahoo! Products;Other - Yahoo! Products	Yahoo! SiteBuilder Help?	 http://www.nfldraftexperts.net       I use Yahoo! SiteBuilder to manage that and I want to know how to make it widescreen...?
20090128192936AAc4kAq	Yahoo! Products;Yahoo! Answers	Omg!!! i made a big mistake !!!!!!!!!!!!!!!!!!!!!!!!!!!!?	okay i was about to pick best answer on the yahoo question that you ask right and them i wasn't paying attention  and picked the wrong one and give point to one useless freak what do i do i really want to give point to the person the earned it please help please please please    thank you so much
