20090226184757AAuAr3w	Dining Out;United States;Other - US Dining Out	This is a servay about pizza and taco witch is better?	you awnser the qustion and icsplain why you will wil a hack to get a lot of point trust me.
20090226222207AAnTyr2	Dining Out;United States;Boston	Where is a great prom location in Southeastern Massachusetts/Rhode Island?	My class is picking a pprom spot for 2010, but we can't find a good hall or locale.  We have 300 prom-goers, so we need somewhere big.  White's is a no. Any suggestions?
20090227005152AAKkf8V	Dining Out;Other - Dining Out	RESTAURANTS.COM QUESTION-have you used these before and...?	can you help answer a question for me?   How does it work if I purchase a $25.00 coupon and the rule says that I have to spend 35.00 $ food, and present the cert. before ordering.   Question...Will they subtract the 25.00 $ off of the 35.00 $ food we order?   OR   Do I have to order 60.00 $ worth of food to get the 25.00 $ discount?   Thanks :)
20080214043022AAef7Xk	Dining Out;Fast Food	Vous donneriez combien d'étoiles a cette  rubrique ?	La mienne...
20080229061501AAmMw0E	Dining Out;Fast Food	Faut-il avoir une grande g... pour pouvoir engloutir un Big Red Special ?	N/A
20080213052947AAEeZDm	Dining Out;Fast Food	Qui va être notre nouveau Burger King?	TONTON RED, le big boss du fast food!
20080214062545AA3opic	Dining Out;Fast Food	Avez vous déjà conclu après une sortie resto au fast food?	avec l'haleine, je demande...
20080221073157AAYW43Q	Dining Out;Fast Food	Est ce que vous congelez vos restes ?	pour les manger plus tard !
20080221073408AARFkxs	Dining Out;Fast Food	Si vous achetez un menu au Mc Do et que vous le mangez ailleurs ?	Est ce un plat à emporter ou un doggy bag ?
20090227013120AABZ1Av	Dining Out;United States;Los Angeles	Semi-formal restaurants near the Pantages?	I'm looking for places to eat near the Pantages Theatre ... I want something somewhat formal/expensive but not too "much" either (it's a fine line, I know).  It's for my Mom's 50th birthday and I kind of want it to be awesome but not ridiculously expensive.  I was wondering if anyone had suggestions?
20081101232646AA4bgg6	Dining Out;Fast Food	If you have any McDonalds cuops or burrito wrappers laying around!!!!?	If you dont enter the prizes online.   an you dont feel like dealing with entering the codes in chances of winning prizes.      will you please peel the black little monopaly sticker of the cup/wrapper (it has a gold dollar sign on it) an send me the code in your answers :D      please that would be helpful!& it would be a waist of a perfectly good game piece if you just didnt use it!
20061204231056AANV7G8	Dining Out;France;Other - France	Je travaille moins de 24 h hebdo..?	employée dans un restaurant à temps partiel; mon patron ne m'emploie que 12h30 par semaine....est ce legal?  une loi ne prevoit elle pas 24 h minimum hebdo?....je suis en contrat nouvelle embauche (cne)
