20081118124141AA5pxtP	Environment;Other - Environment	Why should we protect animals and our environment?	help.
20081015103807AA6JlOP	Environment;Global Warming	What's up with the flying webs in October?	Typically in our town there's tons of flying webs in Spring and I don't go walking for a week or two because of it. But this year it didn't happen or wasn't noticeable in the spring, but know it is. I'm freaking out. First it rains for maybe a week in total last year, albeit sporadically.  Then one of our lakes dries up, and it's October and not a single cloud in the sky.  I know I live in California but it does rain where I come from, I live pretty inland and expect more. Is this a sign of global warming, or some major environmental  changes, or what?      
20081102225617AADQL1C	Environment;Other - Environment	WHy is it really important to separate regular trash from recyclable?	I know everyone says it is an important thing to do is separate the trash but I never hear exactly why it is! PLEASE HELP!!
20090203022127AA3D83V	Environment;Global Warming	Why do believers claim 2005 is the warmest year on record.?	It's not like there is any contraversy among meterologists.  1998 was the warmest.        In their system of beliefs, does James Hansen have something that parallels Papal Infalability?
20090203023108AA6KWBt	Environment;Other - Environment	Let's say there was no music, art or entertainment and you could see through all the bull, what would you see?	N/A
20090203023149AAdlmOa	Environment;Conservation	If a Marine Sanctuary is a no-go for netters or nets why do people flaunt that Law?	N/A
20060704172951AAUgkzb	Environment	Porque ya no es común usar relojes a cuerda?	Hoy en día es mas comun utilizar relojes con pilas boton (baterias) y cuando una pila se descarga la tenemos que votar a riesgo de contaminar el medio ambiente
20060707112722AAs6STR	Environment	?Porque si la mayor contaminación hambiental se produce en el emisferio Norte, repercute en el hemisferio Sur?	Casos tales como la contaminación de la atmosfera con gases como el freon, por ejemplo, son mayores en el emisferio Norte, y sin embargo repercuten ( caso agujero de ozono ) en el hemisferio Sur....o, por ejemplo el recaliento del planeta resulta mas notório en el hemisferio Sur que en el Norte cuando los paises mas industrializados y por ende mas contaminantes se encuentran en el hemisferio Norte.
20060707165342AAurpGb	Environment	Qu haras con el descongelamiento de los polos, lo detendras, no te importa o te prepararas para el futuro?	N/A
20060709064204AAqiSFD	Environment	?Sabías que ya no se habla de contaminación del ambiente, sino de CRISIS ambiental y por qué?	Recientemente se ha comenzado a despertar una conciencia ecológica en algunos ambitos,  lamentablemente algo tarde en algunos sectores porque ya hay da?os irreversibles, o que pueden costar la supervivencia de la vida en nuestro planeta. Ahora solo nos queda trabajar con urgencia en tratar de detener estos procesos de destruccion y en crear una conciencia ecologica.
20060712042321AA6884J	Environment	?Cuál es la clasificacion del mineral olivino?	N/A
20060815053639AAIqT9L	Environment	Qual a segunda cidade do mundo mais arborizada?	N/A
20061125123348AAr9hKW	Environment	What place holds the record for the most rainfall during a month\year?	N/A
