20060831012008AADZSCP	Local Businesses;Singapore	Complétez cette expression de la langue fran?aise ...?	"Pipe du matin...    ; sodomie du soir....."
20060906034428AAEy3c4	Local Businesses;United States;Other - US Local Businesses	Quel candidat est elimine a la 4e semaine de la fantastique emission les colocataires sur m6 ?	avec ce genre de question, je serai peut etre sur de ne pas etre notifié  dun abus ingrat :-D    la tele realite, et moderateurs yahoo, meme combat
20070125114334AAWYFAI	Local Businesses;Mexico;Mexico City	Rapido y sin dolor o lento doloroso?	N/A
20090225142634AAs6mUr	Local Businesses;United States;Other - US Local Businesses	Oysters? what kind of answer is that? Yes, this is a legitimate and very experienced research company.?	N/A
20070601091511AAGan6s	Local Businesses;Mexico;Other - Mexico	?Cuanto cuesta una maquina apara fabricar sacos de polietileno?	N/A
20070814165228AAfDaol	Local Businesses;Mexico;Other - Mexico	?Qué significa "vendo acciones TELMEX"?	No entiendo cuando veo ese anuncio.
20070919155759AAOn5Aq	Local Businesses;Mexico;Guadalajara	Oye ya ni chingan tu que pienzas del nuevo impuestito a la "gasolina"?	oye que tienen estas gentes en la cabeza caca o que yo veo nuestro pais igual no veo mejora alguna las carreteras estan igual o peor digo no se en que emplean todo lo que sacan de los impuestos yu que opinas.....?
20070822182044AA2eCGH	Local Businesses;Germany;Cologne	?De qué tríos me estará hablando?	Mi novio me dijo que quiere que participemos de un trío...   ?Tendrá ganas de ponerse a cantar?
20070907165441AALd6NT	Local Businesses;Mexico;Monterry	?que es lo que buscan en un cyber cafe?	digo para ser mas especifico, alguien me podria decir como se sentirian mas a gusto em un cyber o que es lo qu principalmente buscan ustedes, digo ademas del tiempo en internet.
20070616172320AAnmIr4	Local Businesses;Mexico;Hermosillo	Un nombre para un restaurante?	N/A
20070702170204AAKuu9Z	Local Businesses;Mexico;Mexico City	Donde se puede encontrar bolsa de trabajo para profesionistas de la tercera edad en la ciudad de Mxico?	N/A
20070813110005AAW6Wvw	Local Businesses;Mexico;Zacatecas	Donde encuentro tarjetas de felicitaciones hechos por magic box?	N/A
20080211203754AAHuVCX	Local Businesses;Mexico;Mexico City	Saben de agencias publicitarias en Mexico que requieran Fotografia comercial?	Que necesiten fotografia comercial para publicidad impresa, catalogos, etc. Voy a lanzarme como independiente
20060904022526AA0ThSd	Local Businesses;France;Other - France	Faut-il veiller au grain pour conserver son blé?	N/A
20060922051727AA3FgGL	Local Businesses;France;Other - France	Est ce qu'elle coute moins cher à Villefranche la blanche?	N/A
