20090306090811AASC6YB	Entertainment & Music;Music;Lyrics	Songs You Can Get Angry At?	Need One So Bad
20090306141147AAe7ayf	Entertainment & Music;Polls & Surveys	Who would win this fashion contest?	Sally has a Snuggie   Miss Fedora   JC   BUK   Pappy   Other
20090306141300AAdLgi4	Entertainment & Music;Polls & Surveys	If you owned me, would I have to get fixed?	I promise to have safe kitty sex if you let me keep them =[
20090306144458AAww3px	Entertainment & Music;Polls & Surveys	POLL:  How would you explain someone was getting on your nerves again to someone?	lol
20090306144436AAiR7Gi	Entertainment & Music;Polls & Surveys	Why do spiders not ...?	get stuck in their own webs?       Oh, what a web we weave when we practice to deceive!
20090306143757AA9AqYR	Entertainment & Music;Polls & Surveys	Does the size of your head affect your I.Q?	I ask this as a many men and women are preoccupied with size and motion of a certain anatomy of a male's body.
20090306152401AAjdPJE	Entertainment & Music;Polls & Surveys	Who's your favorite NCIS character?	I'm addicted to this show!
20090306152207AAKwrcx	Entertainment & Music;Polls & Surveys	What is something that EVERY girlfriend has told her boyfriend at some point?	N/A
20090306152235AAxZ1xT	Entertainment & Music;Polls & Surveys	Do you think this girl looked stuck up?	I have a big butt and I remember these guys in my class looking at it at the beginning of the year. we talk now and we're cool.   there are two of them.   one of them was whispering in the other's ear and I was like "stop talking about myass." but I was just kidding they laughed.   do you think that made me look stuck up?
20090306152217AAwObyR	Entertainment & Music;Polls & Surveys	Poll: How many phones do you have?	N/A
20090306144456AAL4yjA	Entertainment & Music;Polls & Surveys	POLL: Whos Coming to Paradise City with me?	Where the Grass is blue    and the trevors are pritty.....dam STALKY!!! ;O
20090306152320AAO7Ci9	Entertainment & Music;Polls & Surveys	Poll: Look behind you...what do you see?	I see a huge window and the parking lot of my office down below. :)
20090306145818AAY2wsc	Entertainment & Music;Polls & Surveys	What is your education level?	Was your schooling worth it?
20090306150145AAWWAs2	Entertainment & Music;Polls & Surveys	Be honest now..........?	are you pretty or uhhh..... not so pretty?
20090306150021AAkhS5Z	Entertainment & Music;Polls & Surveys	Poll: Why is toilet paper called "toilet" Paper?? Do you follow my question? Is it used to clean toilets?	N/A
20090306144205AAJEF8K	Entertainment & Music;Polls & Surveys	Poll: How would you explain the colour of very light blue/black to someone?	N/A
20090306152250AAg4luN	Entertainment & Music;Polls & Surveys	Name a song with the word  funk  in it?	N/A
20090306150426AAReAjk	Entertainment & Music;Polls & Surveys	Favorite Pizza Delivery : Papa Johns,Pizza Hut or Domino's?	N/A
20090306144346AAYQCnm	Entertainment & Music;Polls & Surveys	Fill in the blank time!?	I love _____ with all of my heart.   I want _____.   I am afraid of _______.   The truth is that ________.   My favourite _______ is ______.      [:?
20090306145952AAr2U7t	Entertainment & Music;Polls & Surveys	Do you like these names? No, not for actual babies!?	I was looking up name meanings (yes I'm bored)   Just for fun I pulled together a few. You're opinion:      Odette Lucille   Rosalie Harper (I think I saw this on answers once. I love this name!)   Aidan James   Sadie Anne
20090306150014AAifbYg	Entertainment & Music;Polls & Surveys	Whats your passion??	N/A
20090306145855AAupb1g	Entertainment & Music;Polls & Surveys	What could my dream mean?	Ok so I had a dream that I was at school and I pushed a Steven out a window. Stevens not a friend but hes not an enemy either. And it was during school hours so for a punishment I had to paint 1000 clay birds. Then me and Steven went to my Aunts house and my cousin was there and we went for a walk in the woods.       What could this dream mean
20090306150338AAJGxrk	Entertainment & Music;Polls & Surveys	If curves on a woman are sexy, why do none of these supermodels have them?	Seeing women with no curves makes me want to diet !   I'm a UK size 6-8 and I have a fat on my hips, aka Curves.   It makes me wonder what men really do find sexy !
20090306144535AAViOcz	Entertainment & Music;Polls & Surveys	Lately I saw a lot of teenagers wearing very different socks on each foot...............?	...........like one is with stripes on and the other is plain pink....   and they make it very visible too lol       is it yay or nay.......?
20090306144352AAe3lgc	Entertainment & Music;Polls & Surveys	Do you eat brown bread or white?	N/A
20090306144130AAQNdyT	Entertainment & Music;Polls & Surveys	Survey: How do I convince my husband that it's embarrassing when he screams like a girl?	N/A
20090306141358AAc8oVw	Entertainment & Music;Polls & Surveys	I like pie; what should I do?	N/A
20090306145834AAKKlRf	Entertainment & Music;Polls & Surveys	POLL: Do you bra and panties match today?	=]   Dedication is to Sam.
20090306144424AAfMGxS	Entertainment & Music;Polls & Surveys	TEN POINTS! THOUGHTS ABOUT THIS SHORT POEM?	"Bloodstained White Rose"      there once was a little white rose   wanting to be picked and adored   unbeknownst to the fact   it got stabbed at the stem   petals falling to the ground   as the wind gushes to soothe the pain   crying tears of nectar   blood oozing from its core   the little white rose shall never have...   --------------------------------------...      "Lily"      saw you sitting in the pond   all alone, silent   looking divine and eternal   surrounded in a pool of murk   yet you are so pious   glowing bright in the dark   you bring hope to all life...
20090306144605AA9YKQO	Entertainment & Music;Polls & Surveys	Is there a song out there that EVERYONE agrees is good?	N/A
20090306152342AAtM7Ys	Entertainment & Music;Polls & Surveys	What would you do if you woke up in the middle of the night and in your room was samara morgan?	N/A
20090306150151AAOoKiP	Entertainment & Music;Polls & Surveys	Poll: Dipping finger in water or let the water just fall down on your finger?	I have a broken finger that has been in a cast for like 1 month,would it feel better if  i dip in water first or let the water from the faucet just fall on my finger...
20090306145952AAmiONG	Entertainment & Music;Polls & Surveys	Gals & Guys! What would upset you more; Your girlfriend breaks up with you for another man, or another woman?	Gals reverse the question. what would upset you more, if your boyfriend left you for another women or another man?
20090306150118AAaHSsI	Entertainment & Music;Polls & Surveys	One word to explain why you love P&S?	N/A
20090306152346AAgvMlf	Entertainment & Music;Polls & Surveys	Ummm like what would you lable me?	lol i was taking this quiz and it said what Label am i?      ok so i wear black but with bright colors. i also have red highlights. i wear lots of bracelets. (my arms get cold but sweaters are itchy) i listen to R&B or  soft rock. hmmmmm i don't wear and make up besides eyeliner and lip-loss. some people hate me but most people think im wayy to nice. i am a goodie 2 shoe but at least im not in jail. i have a sense of humor.hmmm i love chocolate chip cookies! ( really i will kill fot them)   i get decent grades and i hope im not boring you.( sorry if i am you can stop reading now or keep going for more) ummm i am really random( i say wats on me mind) some people think im crazy but i just think differently than most. i guess im a tomboy.  . well thas about it!         thanks and be honest!
20090306143747AA1QqGR	Entertainment & Music;Polls & Surveys	At what age are we considered to be in the prime of life?	N/A
20090306144407AAFAd1h	Entertainment & Music;Polls & Surveys	What do you think of a tattoo like this?	yeah koi are cliche but i like them and want one   what else could i add besides water       http://i8.photobucket.com/albums/a42/OxS... 
20090306144251AAx7dGx	Entertainment & Music;Polls & Surveys	Poll: What year were you born in?	I was born in 1993. I'm scared of people born in 1991 lol!
20090306141408AA3UwZ1	Entertainment & Music;Polls & Surveys	Do you even care......................???	N/A
20090306141345AAUBCZx	Entertainment & Music;Polls & Surveys	What pickup line actually works on you?	N/A
20090306141402AAM1mjB	Entertainment & Music;Polls & Surveys	POLL: Which Character from Which Film would you like to be and Why?	N/A
20090306150104AAlFfsb	Entertainment & Music;Polls & Surveys	How do you learn to trust again?	I just found out that my girlfriend of three years, whom I was going to ask to marry me, has been cheating on me for the past year with her co-worker.
20090306144559AAVDerX	Entertainment & Music;Polls & Surveys	How to obtain money??	How to obtain money?
20090306152338AAzCs4j	Entertainment & Music;Polls & Surveys	What do ya'll homies this bout this?	What do you think about this girl?? HM??MM?M?M?       http://answers.yahoo.com/my/profile;_ylt... 
20090306155924AAxPqIE	Entertainment & Music;Polls & Surveys	Poll: Finger Licking Good?	What is finger licking good to you?
20090306153033AAVicY0	Entertainment & Music;Polls & Surveys	Poll: Is there a Chicken in your Kitchen?	N/A
20090306160906AAX0x5q	Entertainment & Music;Polls & Surveys	Poll: Have you ever house swapped?	Do people actually do that? People from different areas switch houses & cars for like a month for a "vacation"?
20090306160911AAobIze	Entertainment & Music;Polls & Surveys	Poll: Have you ever house swapped?	Do people actually do that? People from different areas switch houses & cars for like a month for a "vacation"?
20090306160815AAiNJlh	Entertainment & Music;Polls & Surveys	How many things can you................?	do with Cheerios?
20090306160935AAZmE5q	Entertainment & Music;Polls & Surveys	Darndest things poll:  Ask your youngest child (or sibling, or whatever) what the Square root of PI is?	Mine said "CheeseCake" (she is 7)      Poll: Cherry, or Chocolate Cheesecake?
20090306161001AAuGErK	Entertainment & Music;Polls & Surveys	Poll : Lover oR Fighter???	N/A
20090306155544AANJBfA	Entertainment & Music;Polls & Surveys	Do you think guys are more into sex than girls?	why are guys so into sex? theres more to life than sex!
20090306160918AAd4xfL	Entertainment & Music;Music;Rap and Hip-Hop	Good slow R&B/RAP songs to have sex to?	preferably slow..not fast and nothing old as dirt plz...
20090306160803AAT9bMl	Entertainment & Music;Music;Other - Music	I'm not a big fan of music in general, and I know nothing about bands and stuff, I'm I odd?	I'm not from this country (UK), and I don't know anything about western culture... And now whenever my British friends ask me what sort music I'm into, and I always say "nothing.. " . I know this sounds odd, but I simply don't find these stuff interesting enough to become a fan of something... I do like other stuff... Like business and politics..      I'm I odd?
20090306160835AAg4kEs	Entertainment & Music;Polls & Surveys	UGH! dont u hate it when...?	ur mom only notices the bad stuff u do?   for example...   I noticed the pot was running out of water so i put more water in it. Then my mom ame along and said: Your wasting water! You need to turn the pot off cuz it's done! bla bla bla!!! Ugh! lol it drives me insane!
20090306153042AApm8rl	Entertainment & Music;Polls & Surveys	Did you get any compliments today?	If so, what was it?
20090306160828AAm3Q8p	Entertainment & Music;Polls & Surveys	Do you think they should make a movie about Metallica?	who'd play who?   what'd it be called?   would you see it?
20090306153334AAhAcYW	Entertainment & Music;Movies	Can you name me all the main serial killers?	N/A
20090306161023AAb4lhL	Entertainment & Music;Polls & Surveys	April Fool's Day pranks for bratty little sister?	She's 12 years old and is always calling me things like retard, idiot, freak, and things like that and she's always trying to hurt me. I found out that I don't have school on April Fool's Day but she does, and that's during my spring break. I know it's a little early now, but I really want to have good ideas for pranks ahead of time. Best answer gets 10 points!
20090306161627AAmDhL3	Entertainment & Music;Polls & Surveys	Have you ever seen anyone els wit this avatar cause i think i seen somebody wit this one i cant remember?	and i thought i was being Original
20090306161525AA4EfAr	Entertainment & Music;Polls & Surveys	If everyone on yahoo was in one high school,who would you hang with? ( please pick people from yahoo only ) :)?	I would only hang with my contacts, no one else :) only if you are super cool then maybe yeah lol
20090306162126AA7bZVG	Entertainment & Music;Polls & Surveys	SURVEY: Ladies, Do You Practically Have To Do Jumping Jacks To Get Into Your Favorite Pair Of Jeans?	*plays violin*
20090306161952AAgLqUR	Entertainment & Music;Polls & Surveys	Is it OK to smack a Plane Stupid supporter with a custard-coloured baseball bat?	There are differing points of view which deserve sensible discussion. Throwing fluid into someones eyes is not reasoned debate so let's escalate the whole thing into WW3.
20090306162407AAC73iN	Entertainment & Music;Polls & Surveys	If I asked you to play something on the piano, would it sound....?	....something like the first 20 seconds of this recording? Or more like the remaining two and a half minutes?       http://www.youtube.com/watch?v=tzDzgkntp...       For the record, I think my own standard of piano playing lies somewhere between the two.
20090306162038AAoSTqY	Entertainment & Music;Polls & Surveys	POLL: What if your brother was dating MILEY CYRUS!?	what on earth would you do sister!?
20090306161424AAOdJkR	Entertainment & Music;Polls & Surveys	Are you having a good day?	I am. I get to go out with my friend for a movie and McDonalds :) and then junkfood and movies at home for a sleepover. YAY.    Hope you have a great night and an even better weekend :)
