20090223125609AAPtmwh	Dining Out;Canada;Toronto	Good steak places in Toronto?	Does anyone know any good steak places in toronto? Price isn't an issue. Thanks.
20090223131711AApzQr0	Dining Out;Other - Dining Out	Will you be going to IHOP's free pancake day tomorrow?	N/A
20090223132953AAsFvsW	Dining Out;Other - Dining Out	If ordering from your local Chinese takeaway what would you order?	N/A
20090223131430AAP6UBC	Dining Out;United States;Seattle	Is there any Mexican food delivery in Everett (near Seattle)?	N/A
20090223135448AAmzzJ4	Dining Out;Fast Food	BURGER KING: Has anyone tried the new mini breakfast sandwiches they have?	How were they scale 1-10? any details about them that you can add?
20090223135119AAIOH2j	Dining Out;Fast Food	Hiring at MacDonalds?	Hi guys. I recently applied for a job at MacDonalds. I was wondering if they usually pick the oldest person who applied because there was about 4 other guys who applied and they were all older than me!!!      Also i just went in and filled out the question sheet and i dont know what happens from there. Should they call back and if so how long after ? Thanks.
20090223133824AARt7j9	Dining Out;Other - Dining Out	Is working the espresso bar at  Cheesecake Factory like  working at Starbucks?	I've worked at Starbucks for over a year and I just saw that the Cheesecake factory was hiring people to work their espresso bar. I didn't even realize they had one. How does their espresso bar work? Is it like working at Starbucks or is it more behind the scenes?
20090223135707AALFhdb	Dining Out;United States;Kansas City	Need help from Kansas City people for the Legends at Village West.?	Hubby is coming home for R&R and we want to do a weekend up there. We are going to stay at a hotel right there so that we can drink (and not drive). We'll obviously do some shopping and hit up a movie and go to D&B. We wanted to do Stanfords and Sons, but the comedian doesn't look so great for that weekend. I wanted to know if anyone had any other ideas in the surrounding area of things to do? I'd say within a half an hour of driving from there? We live 2 hours away so I dont know the area well, but want to have an awesome weekend. Thanks!
20090223142800AABffVG	Dining Out;United States;Other - US Dining Out	How many calories are in ihop french fries?	N/A
20090223141609AADJmWS	Dining Out;United States;Other - US Dining Out	Mamma Mia can anyone give me an idea?!!!!?	where in ohio in columbus is a laser tag place with roller skating and pizza?
20090223140643AA8YRxb	Dining Out;United States;San Francisco	Which Korean BBQ restaurant is a better value? Palace Buffet (Sunnyvale) or Brothers (SF)?	Looking to have a little birthday get-together there for a friend.  Is one more inexpensive than the other?  Does one have better food for what you pay?
20090223142019AA2whpm	Dining Out;Fast Food	Subway nutritional facts question?	 http://www.subway.com/applications/Nutri...     Are those total calories including the 6 inch bread aswell? Thanks.
20090223143446AAzO8bF	Dining Out;United States;Houston	Techno club downtown Houston?	I went to this techno club in downtown houston off of 59. It was near Kim Son chinese restaurant. Does anyone know what the name of it is and if it still open? It was a two story club...thanks for the help
20090223145916AAjtJ2Q	Dining Out;United States;Atlanta	Does anyone know anything about this "hippie/pirate"-like shack on the Nantahala river that serves good pizza?	Great little pizza place on the Nantahala river about twenty minutes from Franklin, NC.  Would love to go back this summer and raft but can't remember what the place was called.
20090223154320AAvqkBu	Dining Out;United States;Other - US Dining Out	How much are pancakes at IHOP nowadays?	i feel like a spaz for asking....   i havent been to IHOP in forever...   and tomorrow is free pancake day...    but its only till like 10am :(
20090223150909AAD7Jxt	Dining Out;Fast Food	Isn't Panda Express' chicken horrendous?	When I bite the Orange Chicken in half, it looks all dark and mushy - barely edible.
20090223151516AAqlUQs	Dining Out;Fast Food	What's up with the Wendy's comercial!!!?	On the Wendy's Commercials at the end they always say... It's not fast food...It's wendy's, Why do they say that it it fast food no matter what they say!:(
20090223151529AA1VfrX	Dining Out;United States;Los Angeles	Pls let me know where i can find dunkin donuts in california i'm pregnant and i'm dying to have some munchkins?	N/A
20070506134351AAPwAbW	Dining Out;Mexico;Mexico City	Quiero invitar a mi novia a un buen restaurant, elegante y romántico; no importa que el lugar sea caro?	alguna recomendación???      Si alguien quiere ayudarme, puedo empezar por decirle que el restaurant debe estar en el D.F      podría continuar diciendome su nombre y ubicación...y si no es mucha molestia una descripción breve del lugar en general, sus platillos, etc      Les agreceré muchísimo su ayuda
20070428153630AArEK3K	Dining Out;Other - Dining Out	Quien es adicto al cafe?	yo me tomo como 4 o mas tazas diarias :P
20070314124449AAhMuyR	Dining Out;Mexico;Mexico City	Si fueras a hacer el café de tus sue?os cómo lo harías?	Qué es lo que haría a un café el lugar de tus sue?os?
20070511235341AAyc1s6	Dining Out;Mexico;Mexico City	Esta pregunta es para los nativos del DF Mexico la receta de los famosos esquimos o batidos?	N/A
20070506143325AAydy1W	Dining Out;Other - Dining Out	?Mc Donald's o Burguer King?	N/A
20070508122327AAXEwnz	Dining Out;Mexico;Puebla	Cual es el mejor restaurante de aqui de puebla?	que alguien me diga cual es el mejor aqui XD
20070426072816AAbtwny	Dining Out;Spain;Cordoba	?Qué nombre os gusta para una cafeteria?	La va a poner mi madre que nacio en francia, va a estar en el barrio naranjo (cordoba)
20070424222808AAEoURK	Dining Out;Mexico;Aguascalientes	Cual es mejor lugar para comer en aguas ??	N/A
20070506135833AAiE5a0	Dining Out;Mexico;Mexico City	Urgente!Que restaurante de comida francesa me recomiendas?	Vivo en el d.f   Se los agradeceria mucho si me ayudaran    les doy 10 puntos al que me conste
20070312110505AATgtLm	Dining Out;Mexico;Aguascalientes	?Puedo agregar al jitomate fresco y picado un poco de benzoato de sodio para mantenerlo en refrigeracion?	Hola, estoy por manejra jitomate fresco picado y sin semilla empacado al alto vacio, si aparte agrego conservador (benzoato de sodio) disuelto en un poco de agua lo mezclo con el jitomate ya picado y sin la semilla y posterior lo empaco al vacio, ?si me dara mejor resultado que empacarlo al natural? ?cambiara mucho el sabor?
20070314102817AAw1MTQ	Dining Out;Mexico;Aguascalientes	Necesito referencias del hotel Imperial en aguascalientes??	VOY A LA FERIA DE SAN MARCOS Y ESTOY OPTANDO POR HOSPEDARME EN EL HOTEL IMPERIAL QUISIERA ALGUNAS REFERENCIAS SI EL HOTEL ES BUENO O POR LO MENOS ACEPTABLE GRACIAS
20070421142523AAHHesj	Dining Out;United States;New York City	Te gusta el color rojo?por sangre o por amor?	mi por las dos cosas y a ti
20070510210045AAwuBxZ	Dining Out;Mexico;Mexico City	?Que hace un MacDonalds, Burger king y Pizza Hut cerca de Templo Mayor?	los vestigios de nuestros pasados mas importantes, donde a menos de 2 cuadras ya se cuenta con servicios de comida rapida? ?porque lo hemos permitido, siendo que la gastronomia mexicana esta considerada como patimononio?
20070425145432AAtJRmn	Dining Out;Mexico;Durango	Cual es el nombre de el prisidente del peru?	si cual es el nombre del p eru
20070503144607AAXITH0	Dining Out;Mexico;Mexico City	Dónde encuentro produtos brasile?os para comprar en México???	Por ejemplo: polvilho, pan de queso, guaraná, acaí, harina de mandioca... produtos yoki... o dona benta...   Gracias
20070504190311AAKpdbN	Dining Out;Mexico;Mexico City	Hay un restaurante vietnamita en DF?	N/A
20070507071540AAjaUui	Dining Out;Mexico;Mexico City	?Alguien conoce un restaurante de comida Turca en la ciudad de México?	O al menos donde preparen comida turca aunque no sea 100% turco   Nombre, direccion y telefono ayudarian mucho   Saludos Y gracias
20070508130515AAwRYSV	Dining Out;Mexico;Cuernavaca	?conocen un directorio en internet de agencias de incentivos?	agencias de incentivos que se dedican a llevar grupos de empresas a diferentes ciudaddes
