20090205163738AA0hiMy	Sports;Winter Sports;Ice Skating	What kind of Blades does Sasha Cohen Have?	Wondering
20090205163730AACtGmk	Sports;Wrestling	Lucha Libre and Wrestling Tournament Round 2?	Choose the winner of each match      1-Black Tiger Vs. Black Warrior    2-Santo Vs. Dr. Wagner   3-Blue Demon Vs. Hulk Hogan   4-Sgt. Slaughter Vs. Eddie Guerrero   5-Superzan Vs. André the Giant   6-El Medico Asesino Vs. Ric Flair   7-Rey Mysterio Sr. Vs. Bret Hart   8-Mil Mascaras Vs. Roddy Piper
20090205163903AAJdOLz	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Weekend Football Predictions?	Premier League      Chelsea v Hull City   Portsmouth v Liverpool   Tottenham v Arsenal   West Ham United v Manchester United      La Liga      Barcelona v Sporting Gijon   Recreativo Huelva v Atletico Madrid   Real Madrid v Racing Santander   Osasuna v Valencia      Serie A      Catania v Juventus   AC Milan v Reggina   Lecce v Inter   AS Roma v Genoa         Correct Score = 3 points   Right Result = 1 point   Maximum points a game = 4 points      And if there is a tie between users, the winner will be decided on their prediction on the game between....      A League       Semi Final 1st Leg      Adelaide United v Melbourne Victory
20090205163831AAenjCO	Sports;Basketball	Man, I am so confident that the Lakers will kick some green midgets' azz tonight, I am willing to bet my..?	my girlfriend. Celtic fans if the Lakers don't win by 10 or more points tonight I will give you my girlfriend.
20090205163832AAlOqmY	Sports;Basketball	Where do you think Julius Peppers will end up?	i hope the dolphins..
20090205163813AADRrIG	Sports;Outdoor Recreation;Other - Outdoor Recreation	Is it safe to use propane or green gas in Japanese airsoft guns  i.e. Tokyo Marui Desert Eagle?	I just recieved this masterpiece and i didn't get gas yet, but i need to know what gas to use.      Thanks
20090205163849AAPdGmh	Sports;Wrestling	Christian cage returning?	is it true the christian cage is coming back to the wwe at wm 25?
20090205163953AAP1jxX	Sports;Football (American)	What is a good metal/rock song to play on gutair?	im in the sports part cause theres more people!
20090205164050AAQ4lkR	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Most Goals scored in a game, in leagues and competitions?	-What's the most goals score in an EPL game by a single player?   -Serie A game?   -La Liga game?   -Champions league game?
20090205164517AAhMdoS	Sports;Hockey	What are Sens? Are they breath  mints?	N/A
20090205164433AARvYFx	Sports;Wrestling	Which Professional Wrestler Is Your Hero?	A lot of people look up to wrestlers and do whatever they do. They are somehow encouraged by a wrestler and call them their hero. With that said, Which wrestler is your hero and why? What has made this wrestler become your hero and why does he/she stand out from the others? Thanks.
20090205164307AAgPL5W	Sports;Basketball	Isn't NBA basketball great right now?	Kobe and LeBron have one of the best rivalries ever, the Lakers, Celtics and Cavs are ballin' and they'll all probably get at least 65 wins. I can't wait for the playoffs!!!!!!
20090205164327AA3TEYJ	Sports;Baseball	What is another name for baseball?	i need to know another name for baseball
20090205164229AAu92Ev	Sports;Football (Soccer);2006 FIFA World Cup(TM)	What's with Arsenal signing Arshavin?	He is almost old enough for Milan!  I thought Arsenal only signed minors.
20090205164612AAdrJRC	Sports;Football (American)	Where do you think Matt Cassel will be next season?	Where do you think Matt Cassel will be next season?
20090205164329AAw3Ce4	Sports;Football (American)	Superbowl 44 2010 tickets?	ok can anyone tell me if the tickets are on sale right now? if they are plz tell how i can find them and the price for 2 tickets for superbowl 44.   i live in miami  nd i love football so i rlly want to go.
20090205164157AACYVGh	Sports;Football (American)	When's the NFL Pro Bowl Skills Competition, and what channel?	N/A
20090205164328AARBspT	Sports;Other - Sports	When's the NFL Pro Bowl Skills Competition, and what channel?	N/A
20090205164241AAsBoGC	Sports;Outdoor Recreation;Other - Outdoor Recreation	What fuels can you use in zippos lighters?	I'm not old enough to buy lighter fluid and my parents dont have any so....
20090205164305AAhcJIf	Sports;Football (American)	Where can i find the Super Bowl 43 Catch?	the catch by santonio holmes to put as my computer background?
20090205164544AANpUBs	Sports;Basketball	Is this a REAL basketball rule?	A coach got thrown out of the game because he was not sitting down while the players from the opposite team were shooting for a technical foul made by the coach. He refused to sit down when the ref told him to therefore leading to him getting kicked out. But all he was doing was standing, he wants bothering the shooters what so ever. The ref then told him that it was a RULE that he sat down and not stood up during a technical foul. Is it true or no?
20090205165526AASybZ2	Sports;Wrestling	Were did the rivalry between Triple H n hbk go?	What happened to the rivalry       I remember them used to be best budds then somethin happened n they hated each other         I just wanted to know were all that went
20090205164710AAmkfM3	Sports;Hockey	Do you find those bright almost neon advertising panels on the boards and behind players distracting?	- especially on TV      I do.
20090205165057AAArYRx	Sports;Basketball	A question about michael jordan?	was michael jordan born in jordan (the country) and if he was did he get his last name like that?
20090205165202AAmwaIy	Sports;Football (Soccer);Other - Soccer	Portugal or Italy Who have a Better Soccer Team in 2009?	Who do you guys think have the better team?
20090205165039AAgPmnQ	Sports;Wrestling	Could Someone Get YOU to Admit Pro Wrestling is "Fake"?	This is for Us Intelligent Enough to Understand the Difference Between "Fake" & Scripted.      The Rest/Haters - Suck a Duck.      So , Could Someone Actually get to to Say or Admit that Wrestling is "Fake"?      I Wouldn't.
20090205164753AAoDrNk	Sports;Baseball	What do people think about Venezuela, GO TIGRES?	They are beast -venezuela roqs!- i just want to know your opinion on how they are doing in the carribean series.      -Thank U-
20090205165046AAcKhft	Sports;Wrestling	Would you work for free?    Read first?	If you were just getting into wrestling and a local promoter called you and asked you to work a show and told you the following. That it was an Indy show, there would be about 200-300 fans there, but because he brought in some big name he couldn't pay you. The show is 50 miles away.    Would you say yes?
