20070123155027AA7UTFD	Entertainment & Music;Polls & Surveys	Are you into romance or blood and gore?	I like a combination of both and yes I'm weird. =P
20070123181751AAStPYd	Entertainment & Music;Celebrities	I can't believe Jennifer Hutson won the best supporting actress. I means she's great.?	But can you imagine how mad beyonce must have been. Cause you know she thinks she deceive it all.
20070123200254AAUEnjT	Entertainment & Music;Music	Can you tell me what you think?	I have recently been writing parody songs, though I do not have the parodies recorded or anything, I do have the lyrics, can you tell me what you think about them?   you can view them at:  http://blog.myspace.com/topherjaros 
20070123202535AArIXGg	Entertainment & Music;Other - Entertainment	Whos your fav old school pin up girl??	N/A
20070125093048AARYU9K	Entertainment & Music;Jokes & Riddles	Quel est le comble du comble ?	N/A
20070125082038AALsD5g	Entertainment & Music;Jokes & Riddles	...................to Guess?......................?	trust me a look the same as i do on my avater.
20070125193219AAnM5rB	Entertainment & Music;Television	Who wins in the show i love new york?	the show on VH1
20070125193442AA6OgME	Entertainment & Music;Television	How can i burn unprotected song?	N/A
20070125194141AAcrScY	Entertainment & Music;Music	WHO sings the theam song to THE L WORD?	WHO SINGS THE SONG?
20070126102049AA49opd	Entertainment & Music;Celebrities	What happened to brandy norwood on dec 31/06?	N/A
20070128194503AA42S1h	Entertainment & Music;Celebrities	I have a greta voice and im pretty..How Do I get recognized??	I'm really pretty, can dance pretty well. And I can sing. How do I get recognized??/
20070129092220AAWtoj0	Entertainment & Music;Celebrities	Does anybody outhere admires syd barrett?	I am searching more info about him,because here in Greece I can't find alot
20070128130139AAPhaKm	Entertainment & Music;Music	Favorite Kelly song?	Mine r Shoes, Text Message Break Up, Let Me Borrow That Top and Where Do You Think Your Going.
20070129163847AA2cpgw	Entertainment & Music;Polls & Surveys	Does anyone know who regina falangy and ken adams is ?	N/A
20070129182834AAxKcy0	Entertainment & Music;Polls & Surveys	Do people in countries other that the US.......??	watch the superbowl??? Or is the superbowl just an all-American thing??
20070127103553AAhatDs	Entertainment & Music;Movies	Is the movie How to Deal based on a book?	How to Deal (with Mandy Moore-2003) has a very similar plotline to a book I once read. If so, what is that book?
20070127133356AAgRY96	Entertainment & Music;Polls & Surveys	Does anyone know of a good calling card to call Iraq cellular? For 11 cents or less?	I already know about callingcards.com but they have lots of hidden fees. Every time i call them to let them know they took to many mins off my card,,they get mad
20070127163021AA3j2vD	Entertainment & Music;Movies	Does anyone know when The Prestige is coming out on dvd?	N/A
20070127163756AA1XJDh	Entertainment & Music;Music	Papa roach fans............?	does jacoby shaddix the lead singer REALLY have ADD?
20070127230947AAIofEY	Entertainment & Music;Music	I really want lyrics of "Mercy" sung by Kathy Troccoli. Please post it. I really need it for my church,.	N/A
20070128092557AACrG6V	Entertainment & Music;Music	I need a Good Quallity, cheap Microphone for Vocals (singing) any suggestions?	Yeh... Title pretty much covers it... Answers appreciated!      Thanx, Tom x
20070128204558AA5tEJ0	Entertainment & Music;Movies	Does every star rating go up to 5? I know restaraunts are, but a lot of great movies only get 4.?	Just makes me wonder, is it a universal system?
20070129140442AA95dBX	Entertainment & Music;Polls & Surveys	What's up with those meerkats?	Does Flower really have to be so mean to her daughters?
20070130135911AA6g6UR	Entertainment & Music;Polls & Surveys	How do u know if someone is DREAMING about you?	like do you ever wonder if you ever come in someone's dream?
20070201175150AASO2jd	Entertainment & Music;Horoscopes	Am i the only one that hates?	earth signs.. i had a cappricorn for 19 yrs ,, a control freak who watched my every move or had people watch me.. i had to beep him before i left work and he would be in the parking lot waiting for me and follow me in a seperate car..a libra who chase me around a car at knife point.. a taurus you is making my life and my bf a living hell.. just wondering .. fellow water signs .. am i the only one
20070203085145AAuEzV1	Entertainment & Music;Other - Entertainment	Quando ascoltate una canzone, riuscite a non pensare a nient'altro fuorchè ad essa?	N/A
20070203100816AAmJajJ	Entertainment & Music;Movies	Che pensate dei film di Dario Argento?	Se vi piacciono, qual è quello che preferite^^^?
20070202201911AAVyAiU	Entertainment & Music;Music	Where can i get lyrics of guru(tamil) songs????	N/A
20070203143007AAUxFM2	Entertainment & Music;Polls & Surveys	Do you take your cellphone with you to the bathroom??	N/A
20070203092051AA7TXsL	Entertainment & Music;Music	What Spice Girls sing the different parts of Wannabe?	Basically, which Spice Girls sing the different lyrics. Almost like the lyrics with the name of the Spice Girl who sang them. Thanks!
20070129183446AACcNd7	Entertainment & Music;Celebrities	Do you think draco malfoy is hot or fred and george weasley?	SOS
20070129224201AAbDuvH	Entertainment & Music;Music	What are the differences between the main kinds of guitars (like bass, acoustic, etc...)?	i alway keep hearing of different kinds of guitars like the bass, the acoustic, the electric and stuff.. what are all the kinds out there and what are the main differences between them?
20070130125001AArM9ps	Entertainment & Music;Music	I need band members?	Hi im 11 i live in thornton NH and need band members i need a drum player,lead singer,backup singer,guitar player and must be my age u will make money
20070131034803AA8iolb	Entertainment & Music;Movies	How is tamil film actor trisha?	N/A
20070131164241AAVTkh1	Entertainment & Music;Jokes & Riddles	What are some good pranks and jokes to do in public...?????	but in places like tha mall or walmart ect ect       thanks -Ashley 
20070131165748AAMqiIq	Entertainment & Music;Polls & Surveys	Please answer these questions honestly?	is...   1) reading   2) leting squirrels feed on your flesh   3) keeping cows as house pets   4) drinking lighter fluid   5) sleeping   6) eating   7) counting backwards from ten   8) licking a goat   9) breating   10) wearing clothes   ... dangerous      please support your answe
