20090205034623AAQPWUQ	Games & Recreation;Video & Online Games	Is this team strong enough for Pearl?	Infernape 86  Staraptor 60 Palkia 49   Tentecruel 45 Prinplup 35 Luminienon 41
20090205034744AA3GFsc	Games & Recreation;Video & Online Games	Dota help Quite noob at this game so help?	I was just wandering for axe what should i buy>? 1 vs 1. And what skill should i up first?
20090205034711AA11O6m	Games & Recreation;Other - Games & Recreation	For pokemon diamond does anyone have a cyndaquil?	if so what would you want for it? i want it at a  low level
20090205040913AAya4kl	Games & Recreation;Video & Online Games	The sims 3 - i thought it was out this month now it's saying june?	also will it work on my laptop?      sims 3 spec:   Windows XP (SP2) / Vista (SP1)   2GHz Pentium IV or equivalent (2.4GHz for Vista)   1GB RAM (1.5GB RAM for Vista)   6.5GB HDD Space (plus 1GB additional space for custom content)   128MB Graphics Card with Pixel Shader 2.0      For computers using built-in graphics chipsets:   2.6GHz Pentium D CPU, 1.8GHz Core 2 Duo or equivalent   0.5GB additional RAM   Intel Integrated Chipset, GMA X3000 or above      Supported graphics cards:   nVidia GeForce series   FX 5900, FX 5950   6200, 6500, 6600, 6800   7200, 7300, 7600, 7800, 7900, 7950   8400, 8500, 8600, 8800   9600, 9800, GTX 260, GTX 280      ATi Radeon series:   9500, 9600, 9800   X300, X600, X700, X800, X850   X1300, X1600, X1800, X1900, X1950   2400, 2600, 2900   3450, 3650, 3850, 3870   4850, 4870      Intel Extreme Graphics:   GMA X3x00 series      my spec:   MEDION MD96350   Processor: Intel (R) Core(TM)2 Duo CPU   T5250 @ 1.5GHz   Ram: 2gb   system type: vista 32 bit operationg system      Intel? Graphics Media Accelerator X3100   Based on PCI-Express technology.      the website i got the spec off also says this:   Laptop versions of these chipsets may work, but may run comparatively slower. Standalone cards that are installed in vanilla PCI slots (not PCIe or PCIx or AGP), such as some GeForce FX variants, will perform poorly. Intel integrated chipsets featuring underclocked parts will not perform adequately. Integrated chipsets such as the ATi Xpress and the nVidia TurboCache variants will have low settings selected, but should run satisfactorily. Please note that attempting to play the game using video hardware that isn't listed above may result in reduced performance, graphical issues or cause the game to not run at all. The nVidia GeForce FX series is unsupported under Vista.   This information is based on specifications supplied by manufacturers and should be used for guidance only.
20090205034945AATe62z	Games & Recreation;Gambling	What was last nights lottery numbers?	N/A
20090205040149AAhZKog	Games & Recreation;Video & Online Games	PSP- Problem            10 POINTS?	I have downloaded Pimp My Ride and it works but on my PSP it doesn t work. There is no Memory Stick Light flashing but the MS is in the PSP and when i click X on my PSP. When i click it PSP - Playstation Portable comes and then the screen goes black and says Loading at the bottom of the screen and it is taking toooooo long.   Is there a proplem with my PSP   I have a CFW 5.00m33.   What is the problem.   The same problem occured when starting NFS Pro Street.   Ben 10 and Patapon is working fine.   I appreciate ur help
20090205035225AAQQJVC	Games & Recreation;Card Games	Is there a Pokemon move called Meteor Rain?	N/A
20090205040907AAEQ6Go	Games & Recreation;Video & Online Games	Do  PS3 or Wii gaming Systems games work on projector screens of up to 150" when a sensor bar is required.?	N/A
20090205034919AAitL0Q	Games & Recreation;Hobbies & Crafts	Paint colour help please ?	What is the difference between Model Master Dark Ghost Grey FS36320, and Tamiya Dark ghost grey AS-25
20090205040148AAdbygM	Games & Recreation;Video & Online Games	X-Box games Choice, Need help?	I'm buying a few new games soon, there are a couple i've had my eye on such as HALO wars and also Tom clancy's HAWX, anyone else got a few ideas of what games to buy and what games are good?
20090205034906AAd50gM	Games & Recreation;Video & Online Games	World of Warcraft installer?	why on the WoW installer from worldofwarcraft.com Wrath of the lich king is only 4.7 gb? isn't the actual size 7.72 gbs?
20090205035921AAmj982	Games & Recreation;Hobbies & Crafts	I'm so lame..whats a good idea for a craft to make with my son?	Unfortunately I am not a very creative person when it comes to crafts..I can make just about anything but have a hard time thinking of a original project! My son is in Kindergarten at a Catholic school and they were asked to make something for the 100th day of school that can be displayed in the school window. It should include the number 100 someplace.  I was thinking of just making a 100 but making the 1 a cross..but that didn't seem very exciting! I've got all sorts of stuff here..fancy scrapbooking scissors, paints, glitter etc..so help me come up with a cute idea to make a 100th day craft! :) From one lame mom..THANK YOU GUYS!
20090205040025AA8xPsZ	Games & Recreation;Video & Online Games	I was playing halo2 on win xp..now..aftr playing some levels it shows me insert originl halo2 disc.wt 2 do now?	pls help me out for d same
20090205040039AAxepzg	Games & Recreation;Video & Online Games	How to become a good cs 1.6 user?	how to become beter, tricks,aim trick and stuff, detailed answer is fine
20090205040639AAiyBL1	Games & Recreation;Video & Online Games	Sims 3.  What's the difference between collector's edition and regular, other than $20 more of course.?	N/A
20090205041047AAN5mUN	Games & Recreation;Video & Online Games	I pre-ordered the sims 3 from GAME they said it should be ￡30 but on the website they only have....?	the collectors edition for ￡45.. .what am i going to be charged?!
20090205043332AAg51Tu	Games & Recreation;Video & Online Games	Sims 2 Downloading\Extracting\Please help. 10 POINTS FOR BEST ANSWER!?	I have saved different files, and I have downloaded WinRar to extract them.. I also have a file named "Sims 2 Downloads." I have also enabled Custom Content. I have the files that I want to download in a folder. How do I extract them? And they are not showing up on my Sims 2 Game? Please help.
20090205041452AA5lOeI	Games & Recreation;Video & Online Games	Why do i have to unlock everything again for nfs undercover soon as you buy a new car?	I have nfs underocver for psp   I had unlocked up to 4 performance upgrades. when I bought a lotus it didn't let me apply any upgrades to it and it said they were locked? When I swithced back to my other car the upgrades were there for it but not for the lotus
20090205041727AAWES8F	Games & Recreation;Video & Online Games	Imvu has gone down not working?	has imvu homepage and stuff gone down?/not working
20090205043044AAHSPqX	Games & Recreation;Video & Online Games	Question about Playstation 3?	When I am playing game on my playstation 3 and I want to exit the game (Rockband 2) how do I et back to the home screen where the users profiles are listed so that I can turn the playstation 3 off? I know how to turn it on put the game in etc. I just don't know how to get from the game to the home screen. Thanks your help is greatly appreciated!
20090205042411AAScEfg	Games & Recreation;Video & Online Games	Wolf Quest Sever Question?	Wich Sever is more popular, one or two?  Just wondering
20090205041511AAGgxPq	Games & Recreation;Video & Online Games	How many people died in Final Fantasy 7?	So far i have counted:      Septhrioth, Jenova, Tifa's Dad, Aerith, Palmer, Dyne, Zack, Wedge, Biggs and Jessie.
20090205041653AAw5qkg	Games & Recreation;Video & Online Games	Need help on TES IV the knights of the nine?	on the elder scrolls IV knights of the nine im on the last wayshrine i need to pray at, which is the wayshrine of arkay but when i go to it, it says that it is the wayshrine of zenithar which i have already prayed(activated) at. There is also a knight and his squire that are on the same quest looking for the shrine of zenithar when they are standing right next to it! plz help this is all so confusing.
20090205041457AAoVhOa	Games & Recreation;Other - Games & Recreation	I got the eon ticket on pokemon sapphire but it wont work why wont it work?	I used a gameshark to get the ticket I used the gameshark by using mod shop to bye it for free but it wont work why wont it?
20090205042434AA2iM4l	Games & Recreation;Video & Online Games	Call of Duty 4 Question?	I have two questions for this game ( note that i am lvl 18 right now)      -I was playing CoD4 last night and i saw prestige mode and saw u had to be a lvl 55 to play it and figured i have a long way to go lol. So i was just curious what it is?      -How do i get gold guns?
20090205042628AAFwdYE	Games & Recreation;Other - Games & Recreation	How do i put games on my TI-89 calculator?	i have one and i want to put games on it
20090205042705AA9CqHy	Games & Recreation;Video & Online Games	Why didn't the xbox hardrive swap work?	I soft modded my xbox, and I ended up with an error 16. After reading of what i could do to fix it, I learned that you can switch from the broken hard drive to another working one. I borrowed a friends and pluged in the IDE cable and the power cable (the one going to the hard drive). After trying that, i ended up with error 6. I read more and i needed to unlock his hard drive, so I did. The result was error 6 again.      What am i doing wrong? or is it just that my friends xbox is an older version than mine?
20090205043222AAJKnSc	Games & Recreation;Video & Online Games	What should I do.....?	I want to get the elder scrolls IV:oblivion GOTY edition but I heard about that bloodgrass glitch,I don't want anything to interrupt my progress in the game,so should I get the original game or is there anyway to avoid or fix that bloodgrass glitch in GOTY?NOTE:I don't have internet so I can't download a patch
20090205043650AAF9fHU	Games & Recreation;Video & Online Games	Should i buy the fragfx?	i'm a big fan for FPS games on ps3.... i know there's this mouse for ps3 called fragfx... has any1 ever tried it? your opinions thx
20090205043730AA53U85	Games & Recreation;Video & Online Games	Which one should i buy?!?	i cant make up my mind!       which game should i buy?      left 4 dead or team fortress 2?
20090205051159AAEcOWy	Games & Recreation;Video & Online Games	Guitar Hero World Tour PS3 compatibility?	I own a PS3 and a Guitar Hero: World Tour [Guitar Bundle]. My friend owns a first edition PS2 (Not the slim ones). I was wondering if my guitar controller will work on his PS2, since I want to play guitar hero III with him on his PS2. Will it work? He also owns the PS2 version of world tour, will that work also?
20090205051609AA4og6q	Games & Recreation;Video & Online Games	Rock Band 1 and Guitar Hero WT Guitar Controller.?	I know Rock Band 2 is compatible with Guitar Hero WT peripherals on the PS3. I am not interested in getting RB2 because there are a lot of similar songs to GHWT. Instead I'm thinking of getting Rockband 1. Will my guitar controller be compatible? Do I need an update first? If so how large is the file?
20090205051747AA51mwS	Games & Recreation;Video & Online Games	Sims 2:University- Get Babies out of college town?	I used the Tombstone of life and death to make my young adult sim pregnant with her fiance.  She gave birth to twin girls, but when she graduated and returned to her home town, the babies stayed behind!!!!! I have no idea how to reunite them, because obviously the babies are unselectable and don't have the graduate feature! I do not know what to do but obviously she can not just "abandon" her babies! lol Any suggestions?
20090205051355AAKnoQ8	Games & Recreation;Video & Online Games	Ultimate ninja 4 game?	can you play with shippuden sasuke on ultimate ninja 4
20090205050649AA4GxdX	Games & Recreation;Other - Games & Recreation	Edinburgh zoo in winter?	Is it worth going to Edinburgh zoo in this weather? We are thinking of going next week but wondering if all the animals will just be inside in their huts and stuff?
20090205045926AATs4mS	Games & Recreation;Hobbies & Crafts	Where can I get some see through glass from?	N/A
20090205045814AA9Frc4	Games & Recreation;Video & Online Games	Gamersssssssssssssssssssssssss…	hey hav u crossed level well of souls of final doom  .. i hav killed everyone there  .. and u know about the well in which if u fall u get killed everyone.. if have reached till there .. i hav yellow and red skulls ...
20090205045009AA6I2h7	Games & Recreation;Video & Online Games	How do I buy new guns on fallout 3?	i need to get a new gun since i only hav a pistol but i dont know how
20090205050826AApYUuZ	Games & Recreation;Video & Online Games	Hey I havent played Def Jam Fight for NY in a while and i wanted to know where could i find it....PLEASE HELP?	And i also wanted to know how much it cost now....I need it for PS2......THAT game is awesome
20090205052124AAXR8mR	Games & Recreation;Video & Online Games	When will a Custom firmware be out for the 5.03 psp update?	i have a psp 1000 and 3000 with 5.03 firmware. When will a hack that runs cso files be out?
20090205044423AADQ8nX	Games & Recreation;Video & Online Games	Is there a way to download xbox 360 games nd burn it onto a cd or dvd  nd play it ?	nd it better be 100% real
20090205050745AAtpGE8	Games & Recreation;Toys	Whats the Lego toy? what it looked likewhat you did with this toy ?	Whats the Lego toy? what it looked likewhat you did with this toy 
20090205045641AAMzCtK	Games & Recreation;Video & Online Games	Any recommendations for an addictive role-playing game?	Not thinking pen-and-paper RPGs here, but something on the PC, 360 or PS3.      I'm a huge fan of Bioware (Knights of the Old Republic, Jade Empire -- looking forward to Dragon Age) and can't stand faux RPGs like Final Fantasy.      I'm open to an MMO, but I've managed to burn through so many of them: WoW, DDO, CoH, SWG, AoC, LotRO, etc.       I know, I'm probably being picky, but I've been researching for the last week and coming up empty. Any help would be most appreciated!
