20081216115611AABL5VF	Entertainment & Music;Music;Other - Music	Sapete scrivermi questa canzone?	nonla traduzione, ma le parole:   Great DJ - The Ting Tings   grazie in anticipo...
20081216123048AAblEvL	Entertainment & Music;Music;Other - Music	Qualquno di voi conosce i....gruppo!?	qualquno di voi conosce gli squallor arrapaho??.. da che persone è composto (i nomi).. e poi questo video da chi è cantato??  http://it.youtube.com/watch?v=S6sJ-hPKYV... 
20081225170546AAXBYTD	Entertainment & Music;Polls & Surveys	POLL: What's the longest that you've ever held your pee for?	N/A
20081217041310AAw9dJ1	Entertainment & Music;Jokes & Riddles	The hardest riddle ever??????????	i have a fox tail,   but im not a fox   i have ears of a bat,   but im not a bat   i eat grubs and caterpillars,   but i am not any bird.   i climb trees,   but im not a cat,   i have the face of a rodent,   but im not a rat.   i live in the trees in madagascar,   surprisingly, im a primate.      can you figure out the answer?
20081231114621AANrVPp	Entertainment & Music;Jokes & Riddles	Whats the best joke you have ever heard?	Please rate others answers, if you cannot vote, say your favorite after you place your joke as I will consider your voting towards my pick.   Thank-you for sharing
20081231124736AA5lyx8	Entertainment & Music;Music;Other - Music	When, in your opinion, did popular music die?	I think it was with the boy band trend that started to manufacture groups as a product. Popular music today really has no soul, it's all just a result of extensive marketing. Pop artists like Fergie get paid to mention certain brands in their songs, and it seems like a lot more gimmicky people like Lil Wayne get popular.   When do YOU think popular music died?
20081227202815AAje4E0	Entertainment & Music;Polls & Surveys	What town or city do you live in, and do you like it or hate it?	N/A
20081231091314AAVfc3V	Entertainment & Music;Music;Rap and Hip-Hop	Cual de estos creen ustedes que es mejor y porque?, 9th Wonder o The Strange Fruit project?	y si no los conozen no contesten, ambos son de los mejores productores de rap yankee underground para todos los que piensen "y quien pu+os son esos"
20081227135532AA2K1Uw	Entertainment & Music;Polls & Surveys	Do you tell someone when their butt crack is showing or try to ignore it?	How do you tell someone that their butt crack is showing?
20081228021317AAaTBr3	Entertainment & Music;Polls & Surveys	Are you ganna kiss anyone for new years?	i am :) as soon as it turns 12:00 am on new years
20081225172433AALnhOa	Entertainment & Music;Polls & Surveys	Survey: Do you dry yourself in the bathtub, or out of the bathtub?	Out   xD!
20081229095331AAxd4ij	Entertainment & Music;Polls & Surveys	Poll: Does love ease or cause your pain?	N/A
20081229122356AABcb1v	Entertainment & Music;Music;Rap and Hip-Hop	Porta es el mejor rapero hasta aora?	yo digo que si ustedes
20081229150432AAQC53g	Entertainment & Music;Music;Rap and Hip-Hop	Snoop Dogg Vs 2Pac Cual Prefieres?	Me Kedo Con Snoop
20081229155449AA8bI3m	Entertainment & Music;Music;Rap and Hip-Hop	?Quien es mejor rapero de estos 2?	?EMINEM O  SNOOP DOGG   KIEN SE LES ASE MEJOR RAPERO ?
20081229161344AAwS5lC	Entertainment & Music;Music;Rap and Hip-Hop	?para los que saben de Hip Hop real?	os propongo una reflexion a ver si sois capaces de dar una respuesta clara y coherente      ?Que consideras que eres parte del Hip Hop o que el Hip Hop forma parte de ti?
20081231115701AA2nABp	Entertainment & Music;Music;Rap and Hip-Hop	?Sabéis de rap inglés?	Me podríais decir el título del disco que sacaron Man lee y Talib Kweli conjunto?    Gracias de antemano.      Feliz 2009*
20090101150418AAIHyT3	Entertainment & Music;Other - Entertainment	Can someone answer this please?	can u answer my other question, it was something about new years rocking eve, just click in my pic and scroll own an click questions, it should be there
20090109121529AAnxjf5	Entertainment & Music;Polls & Surveys	POLL: like Mac and cheese,,, Hate Mac and Cheese, OR?	LOVE MAC AND CHEESE!!!!!!!!!
20090114200031AA974iB	Entertainment & Music;Polls & Surveys	What commercial sucked you in and forced you to buy their product?	N/A
20090108155059AAwmzde	Entertainment & Music;Polls & Surveys	On a 1 to 10 scale, how would you rate your happiness when you had to return to work/school from the holidays?	1 being really really unhappy and mad and 10 being happy as ever
20090114195934AAuoFjQ	Entertainment & Music;Polls & Surveys	Survey: If I planned a P&S party, would you come?	Theoretically speaking, of course...
20090109125635AAxRt6z	Entertainment & Music;Polls & Surveys	What is the first thing you think of when i say?	sugar?
20090114142444AA0wN8l	Entertainment & Music;Polls & Surveys	Are hickey's icky or still in fashion?	N/A
20090108110811AARu7lE	Entertainment & Music;Polls & Surveys	Weird, random, fun QUIZ!?	Name:   Favourite drink:   Favourite colour:   Shoe size:   Overly-used phrase:   Country/State:   Favourite band:   Chocolate or Strawberries:   Love or money:    Sad or happy:   Beach or a snowy winter wonderland:   Favourite name (not yours):   Pizza or chips:   Yes or no:      <3
20090114084220AAAtIkg	Entertainment & Music;Polls & Surveys	How many feet or inches of snow do you have where you live?	I live in Flaxton, ND and in my yard I have around 1 feet 2 inches.
20090109121125AAr2zk5	Entertainment & Music;Polls & Surveys	What's your favorite Wii game?	N/A
20090109230226AApcF0P	Entertainment & Music;Jokes & Riddles	Please can anyone help with this riddle?	The last question on a riddle i am playing is driving me mad!! must be easy as the answer isn't on the web (i've been hunting for cpl of hours) thing is i cant get sleep til if iv finished it so please please help me :)       the qu is: 100 is the A I Q      the A I Q are to be replaced by words beginning with those letters.      Thanks for any answers
20090109180918AAPYcZz	Entertainment & Music;Polls & Surveys	Poll : JAMBA JUICE or STARBUCKS!?	[=
20090109125834AA2gLXE	Entertainment & Music;Polls & Surveys	Would you be embarrassed to say that ?	you didn't do a damned thing today , but play on yahoo?    i would never admit something like that.          hi ho..?  hi ho.. ?
20090116100225AAajOKn	Entertainment & Music;Polls & Surveys	When you were a kid...?	...What did you want to be "when you grew up?" Are you who you wanted to be? The reason I'm asking is because I still have no clue what I want to be and I'm 16. (Well, not so much who I want to be but what I want to do.) Are you the kind of person who is ambitious and makes plans, or do you just go with the flow?
20090109123546AAMYwOr	Entertainment & Music;Polls & Surveys	Survey: would you keep it to yourself if?	You walked in on one of your parents having sex with someone else and they never knew you saw or would you let them know you knew or tell your mother/father?      This applies to people whose parents are married to each other btw
20090109130221AABSL3j	Entertainment & Music;Polls & Surveys	Anybody else wish that they were sitting on the beach sipping fruity drinks brought to you by a hot cabana boy?	Who would you want your cabana boy to be?  Or girl?
20090106140429AAkvbpH	Entertainment & Music;Polls & Surveys	Poll : do you like uniforms ?	N/A
20090114194011AAea3fR	Entertainment & Music;Polls & Surveys	Can you remember your first?	3 boyfriend's/girlfriend's names?   I can. They were Aaron, Cody, and Dylan.
20090109131305AAgqYES	Entertainment & Music;Polls & Surveys	Poll: Are you waiting for something?	N/A
20090108154039AAVe50j	Entertainment & Music;Polls & Surveys	Do you think Y!A needs a colour change?	I think they should offer different choices of colours that we could have, i'm getting a bit bored of green now
20090109121547AAvx7Jz	Entertainment & Music;Polls & Surveys	When u were a child what did u want to be or who?	i wanted to be appolonia kotereo    http://www.flickr.com/photos/7234419@N02...    i am 32 then i was 11 and look she still is hot    but hey so am i
20090105065107AACyr3i	Entertainment & Music;Polls & Surveys	Do people ever help you out?	Best question evar!
20090113180313AAitamR	Entertainment & Music;Comics & Animation	About the book "Kirby Five-Oh!, Celebrating 50 years of The "King" of Comics?	section: "Fifty Best Kirby Covers"; ?who chose the Tales to Astonish #34 cover?
20090109122841AADI3Fh	Entertainment & Music;Polls & Surveys	Survey | Is it cold or chilly where you are today?	Get over it!  It could be worse!!      It's -45 in Fairbanks Alaska!      And their high today is -34!      It's 80 degrees warmer where I am, and I'm thankful for that!
20090109232917AAltqUf	Entertainment & Music;Jokes & Riddles	A blonde joke... its like a crap riddle thing?	there was a man on a bike.... and he fell off.
20090112140704AAyR87n	Entertainment & Music;Polls & Surveys	Does the weather affect your sleep habits?	Or am I just buttass lazy for taking two two hour naps during this cold dreary day?         I'd vote for lazy
20090114195227AAaoFtq	Entertainment & Music;Polls & Surveys	When will this guy start to pay more attention to me?	so i think hes mad at me because i call him alot and i ask him to call me, so i decided not to eat lunch with him today and im not going to call him all week, or weekend, problable untill he starts to call me and look for me at lunch time, and also he problable wont call me all wek because finalls are next week, so hell be study.I also over heard his friends saying oh we all know you love that girl, it some girl that goes to our school, so thats why im trying to ignore him.
20090111121041AAdrGie	Entertainment & Music;Music;Other - Music	Song with Bell Biv DeVoe's poison sample?	Just wanna know which rap song used Bell Biv DeVoe's poison sample.      Here's the original song by Bell Biv DeVoe.      www.youtube.com/watch?v=TdF2zqs1bxQ
20090102215209AA9M1SO	Entertainment & Music;Polls & Surveys	Who do guys like boobs?	Seriously, what do guys find so attractive about breasts? And don't say it's because you don't have one..that's lame. Whats so "hot" about them? This is something every girl girl wonders. So guys..?
20090108154833AAwXIX7	Entertainment & Music;Polls & Surveys	Have you ever seen a hoo-hoo that is actually bigger around than long?	Inquiring minds want to know.
20090109181138AAhL41z	Entertainment & Music;Polls & Surveys	If you could go back in time.....?	...whats one thing you would change in your life?
20090111105534AADc5lT	Entertainment & Music;Television;Talk Shows	Tifate blu o bianchi quest'anno?	x ki nn guarda amici è pregato di astenersi dal rispondere in quanto nn c'è scritto obbligatorio da nex parte... x gli altri mi farebbe molto piacere avere una loro opinione...   grazie 1000 in anticipo
20090114193803AAPbYEi	Entertainment & Music;Polls & Surveys	Did she just give me some marijuana seeds?	im bird sitting for someone and they have a conjure or some bird thingy. they gave me a 'secret' bottle of treats. she said it was hemp, and its really hard to get. i looked it up on wikipedia and it said its the seed from marijuana... wtf? what should i do?
20090114200627AAYBrZy	Entertainment & Music;Polls & Surveys	Whats the first thing you do when you wake up?	i was just wondering.....   whats the first thing you do when you wake up??   i go to the bathroom first.
20090115121640AAPcYJU	Entertainment & Music;Music;Other - Music	DO U LIKE THIS SONG I WROTE?	B HONEST PLEASE!!!!!!                                        1 Chance                            I'm on the phone with u 2 hours a day. Even though I just saw u at school-----. You barely even talk. I've never seen u smile. If i look at u, u just look awayyyyyy.... You always look depressed. When we're on the phone sometimes we barely even talk. I know you don't like meeeeee..... but please please please i need 1 chance to prove to you that we belong togetherrrrr. Yeah... 1 chance pleaseeeeee
20090206231644AASa4pn	Entertainment & Music;Polls & Surveys	Would you eat banana pudding with a?	fork?
20090219165705AAbTFiH	Entertainment & Music;Polls & Surveys	Not only is Dane Cook funny...?	...he is a FINE man                      http://media.photobucket.com/image/hot%2... 
20090219165120AArLmB7	Entertainment & Music;Polls & Surveys	Poll: go to bed or stay up listening to dance music drinking pina coladas?	will i regret it in the morning if i stay up, i have to be up by about 8am latest, its almost 1am
20090123094518AAy7sXw	Entertainment & Music;Polls & Surveys	What is something you should never do with a "Snuggie"?	N/A
20090131192724AAcPlST	Entertainment & Music;Polls & Surveys	I have always wanted a ________but I know I will never get it ?	N/A
20090219170003AArlRTo	Entertainment & Music;Polls & Surveys	Are Most people on Yahoo Answers...?	on here because they do not have many friends outside of Yahoo Answers, are perhaps unpopular, and come here to talk freely with new people?
20090219165353AATsZYk	Entertainment & Music;Polls & Surveys	Where can it be possible to download free stuff for sims 2 double deluxe? 10points.?	I can't seem to find anywhere Sims 2 double deluxe + nightlife downloads..like stuff . Anyone have any ideas?
20090218185457AAer1u4	Entertainment & Music;Polls & Surveys	Name something you will find on a desk?	No duplicate answers please
20090218180821AAzvsWx	Entertainment & Music;Polls & Surveys	Do you love... Journey?	I am obsessed with the music of Journey. Was wondering if anyone else is too. I was a young kid when they were popular.       What is your favorite songs of theirs?       What do you think of Steve Perry?
20090211111002AAWBE6o	Entertainment & Music;Polls & Surveys	HERES A POLL: does it seem like girls/women care more about what they look like then men?	N/A
20090219165024AAvvbog	Entertainment & Music;Polls & Surveys	What is your least favorite name?	I'm talking about real names, not stuff like Shithead or Temptress or OrangeJello.
20090130173850AAOolCe	Entertainment & Music;Polls & Surveys	People of all ages: Do you remember listening to U2? (or do you still...)?	I like their old stuff a lot, but "Get on your Boots" was a fail.
20090219165153AAfaGD6	Entertainment & Music;Polls & Surveys	We're having a good old hootenanny what are you bringing?	thanks to Leroy for the idea
20090127160046AA1PAKn	Entertainment & Music;Polls & Surveys	Wat comes up in ur mind when i say?	ICHA CHICKA ZUMA!!!!
20090125151342AAEhA5z	Entertainment & Music;Polls & Surveys	Poll: Homework or bed?	*Yawn*
20090219165118AATBJnW	Entertainment & Music;Polls & Surveys	Have you ever had to boot a Contact?	I did a few seconds ago, because I'm convinced she's a bit bigoted. Her last few questions touched a nerve with me, so I had to break her off...
20090219165626AAb4Qvc	Entertainment & Music;Polls & Surveys	My favorite band is MCR !! WHats yours !!?	I love my chemical romance
20090123154609AA39AXC	Entertainment & Music;Music;Other - Music	What is your favourite song at the moment?	Mine is  Kings of Leon - Use somebody   :D you?
20090218181826AALytuU	Entertainment & Music;Polls & Surveys	Do you think someone that committed murder can change?	Or are they always going to be a bad person?       Is murder a "gray" topic to you?
20090127160052AA4TBsN	Entertainment & Music;Polls & Surveys	POLL: What do you dislike more??	a backseat driver   or   a nosy neighbor
20090219170055AANVkNp	Entertainment & Music;Polls & Surveys	POLL: What happened on the the best day so far this year?	on my best day, i got a 97 on my mathematics A exam.   :]
20090210172617AASLGj9	Entertainment & Music;Polls & Surveys	POLL: Have you ever had a crush or thought a teacher was cute/hot?	:D
20090218183526AAP5oTB	Entertainment & Music;Polls & Surveys	POLL: kisses or hugz?	N/A
20090219165214AA9N4S9	Entertainment & Music;Polls & Surveys	What age did you loose your virginity?	N/A
20090131211552AAR6YF0	Entertainment & Music;Polls & Surveys	What is your favorite band?	I like Genesis and Rush! The Who and Dave Matthews Band are also really good.   Anyone here listen to Dave Matthews band? good stuff!
20090219165202AAcjCtn	Entertainment & Music;Polls & Surveys	Whats your favorite word?	i have no idea why i asked, im just really bored.   mines some : )   i have nno idea why, it just sounds cool!   what if some : ) was typed in lime green oh that would be so cool!   sry. i talk alot....lime green is my favorite color.thats why i chose that color: )whats yours?(im weird like that)
20090219165357AAYSLXI	Entertainment & Music;Polls & Surveys	What is your favorite Jolly Rancher flavor?!?	cherry and blue raspberry are mine!
20090126172527AAWjefF	Entertainment & Music;Polls & Surveys	Alguém já tentou espirrar sem fechar os olhos?	Comecei treinar e já estou conseguindo na maioria das vezes,mas é preciso muita dedica??o e praticar bastante.
20090120124044AAojtb0	Entertainment & Music;Television;Soap Operas	Viram vera ficher em ''caminhos das indias?? oq era akilo?	qm assistiu ontm a estreia caminho das indias devem ter reparado no novo visual de vera ficher! Cah entre nós ,eh a minha opiniao,,respeito qm goste dela como atriz!   mas ela nao tm nenhuma expressao..parec um robo falando e agindo ..e fora q a voz dela nao sai direito!   * e vcs notaram,,repararao? virao? o visu dela ontm?   eu axei q tava vendo um fantasma ou zumbi..algo do tipo!   akelas corzinha muito escura o cabelo claro d+!   sincerament muito ridiculo!
20090130173636AAiPazB	Entertainment & Music;Polls & Surveys	Kate perry or lady gaga?	im having a hard time...probably kate perry for me!
20090219171933AAThpYU	Entertainment & Music;Polls & Surveys	Sing a song? OR Dance along?	N/A
20090219173742AAYpGws	Entertainment & Music;Polls & Surveys	POLL What time is adult hour on P&S (CST)?	N/A
20090219175835AARMIkB	Entertainment & Music;Polls & Surveys	Summertime or Wintertime?	Oh and give me a simple reason please :)
20090219173703AAXkRhG	Entertainment & Music;Polls & Surveys	POLL: Chocolate or Vanilla ?	which one?
20090219180905AAzCdM1	Entertainment & Music;Polls & Surveys	Even though you may have the DVD or Video of a movie that you like, when it comes on regular TV?	When it comes on regular TV, do you still watch it?   I have.
20090219171936AAa7Sxe	Entertainment & Music;Polls & Surveys	POLL: What's the best invention ever?	N/A
20090219180906AAL2Av4	Entertainment & Music;Polls & Surveys	Have you ever seen a blind man....?	in a strip club?  Does that mean he's allowed to use his hands to see?
20090219171110AAWQRs9	Entertainment & Music;Polls & Surveys	How can i grow some ball hair?	not literraly   cause of this vid:    http://www.youtube.com/watch?v=HXIX4qJhd...    if we got more then 5000 views then i would do       PARTY BOY which is danicing in ur tighty whitys wit music      so how can i be confindent enough?   i have 2 be ready   thx
20090219171028AANnmwe	Entertainment & Music;Polls & Surveys	Would you rather be a Fruit or a Nut? what type?	N/A
20090219172006AAnS8qj	Entertainment & Music;Polls & Surveys	What are YOU bringing back?	N/A
20090219171355AA74mfA	Entertainment & Music;Polls & Surveys	What is the best song ever?	Tell me your favourite song, and why it's your favourite.
20090219170131AA7slGt	Entertainment & Music;Polls & Surveys	What was the best decade for music?	Its 12.50 GMT and im watching MTV,though only 26 years old,i can,t help thinking that the 70s produced the best music, whats your view?
20090219175421AAt3Y0P	Entertainment & Music;Polls & Surveys	POLL: IS IT NORMAL THAT........?	is it normal that like at least once a week i get this whole "darkness" feeling and i just start crying? ive been through a lot and its really rubbed off on me and i just sink into "black depression" for like a half hour and i get better. does anyone else do this? and is there something i can do to help myself stop? thanks   yours truly,   nick
