20060817050653AA4BKE1	Food & Drink;Beer, Wine & Spirits	Qual é a melhor bebida alcoolica???	E ai  pros  AA de plant?o qual a melhor?
20060818152934AAJHpqk	Food & Drink;Other - Food & Drink	Qual sua comida preferida?	N/A
20060821094943AA7JTfI	Food & Drink;Cooking & Recipes	Qual seu prato favorito?	N/A
20060820070602AAlyDcx	Food & Drink;Vegetarian & Vegan	O tomate é fruta ou legume?Porquê.?	Me tirem essa dúvida.
20060821122432AAG7K2r	Food & Drink;Beer, Wine & Spirits	Me indiquem um bom champagne??!!!!?	Eu estou pensando em fazer um jantar romantico para minha namorada e n?o consigo escolher um champagne a comida vai ser um peixe me ajudem por favor
20060823062611AARzi5R	Food & Drink;Beer, Wine & Spirits	Alguém poderia me indicar ,quem entende sobre um bom champang para acompanhar um fondue?	N/A
20060827164047AABsRWx	Food & Drink;Other - Food & Drink	Como e feito a pasteuriza??o ?	N/A
20060827165754AArVxSY	Food & Drink;Cooking & Recipes	Como se fala em inglês chocolate???!?	é facil é dó vc pensar!!pensa,pensa!
20060828123239AAZTZfL	Food & Drink;Beer, Wine & Spirits	Como surgiu o conhaque???	N/A
20060901112030AAmZhB3	Food & Drink;Other - Food & Drink	Vc gosta do James Blunt??	Aquele mala sem no??o que canta You′re beautiful....      Meu, que pela-saco, sem contar que ele tem cara de chulé.....
20060923171151AAU5S9Y	Food & Drink;Cooking & Recipes	Qual a pizza que você mais gosta?	N/A
20060920132400AAiA5Jg	Food & Drink;Cooking & Recipes	Hei alguém ai sabe como se faz cocada paulista ?	N/A
20060915131019AA9ZtxY	Food & Drink;Beer, Wine & Spirits	Estou presizando de 15 numeros de 1 a 20?	N/A
20060921130744AAllVAc	Food & Drink;Other - Food & Drink	Sera que tomar coca cola todos os dias é vicio????	Eu acho que nao pq tb consigo ficar um dia sem tomar.
20060925121338AA7H3Ee	Food & Drink;Beer, Wine & Spirits	O q é pior: porre de vinho ou cerveja? e a ressaca depois?	N/A
20060921121634AAxs8eY	Food & Drink;Other - Food & Drink	Gosto de comer brigadeiro quente, na panela, e você?	N/A
20060921061452AAYgwmB	Food & Drink;Non-Alcoholic Drinks	Problema grave com a COCA-COLA, você sabia?	Bom pessoal é o seguinte eu já fiz o teste e realmente é verdade, se vc pegar uma bala mentos (verde) e colocar dentro de uma quantidade de coca-cola (light) a bala espuma e pula para fora, depende da quantidade de coca, quanto mas você colocar, mas alto ela vai pular. Agora imagine se uma pessoa n?o souber disso e estiver chupando mentos (verde) e tomar a coca na sequência, o que acontece? será que a bala vai explodir dentro da pessoa? Fa?a o teste você mesmo e confira.
20060915063705AAhI75k	Food & Drink;Cooking & Recipes	Alguem pode me dar uma receita de pudim de laranja?	N/A
