20090309232421AAIV19H	Games & Recreation;Video & Online Games	What's the next class update for Team Fortress 2?	I'm hoping for Demoman. Then Soldier, then Engineer, then Spy.
20090309232908AAuO8Gi	Games & Recreation;Video & Online Games	What was this ps3 game?	I saw a trailer for a future ps3 game on line, it had a broken down car with some sort of samurai guy and a human like pig laying by a tree sucking bees into his snout and he was counting. I was just wondering if anybody else had seen this and if so what was the game called?
20090309232734AAYlT6X	Games & Recreation;Card Games	What is the probability that the first card is a six of hearts and the second card is a heart?	you are dealt two cards successively from a shuffled deck of playing cards. what is the probability that the first card is a six of hearts and the second card is a heart?
20090309233605AA2jwcp	Games & Recreation;Other - Games & Recreation	Skate 2 question 10 PTS!!!!!!!!?	how do i start a new game on skate 2?? some people said delete the skater profile. Will I lose all of my freeskater characters like big black and dem bones (the skeleton guy)    REMEMBER 10 PTS      THX
20090225091827AAPxaYz	Games & Recreation;Video & Online Games	Help...when I try going into the games on pogo.com it says Java error.?	It says Javaq not found or not working. It was fine last night. My java has been updated and I ran the test and it says it is fine and working properly...any suggestions???
20090225091916AAYSDMo	Games & Recreation;Video & Online Games	Alright Animal Crossing Lovers......?	Where in the hell is the Centipede? The pig wants her Centipede? The books says "on the flowers".. Nothing ...I even went around and grab all the flowers and grouped them up in one spot so I could stop running around...where is the little freakin' bug?      Thanks!!
20090225091953AAAO1mP	Games & Recreation;Video & Online Games	What is the R4 for Nintendo DS?	I heard you put ROMs on it and the DS can play it. Is there anything similar to the R4 available, but better?
20090225091509AAaJgO5	Games & Recreation;Video & Online Games	Does anyone know where i can get warcraft 2 tides of darkness?	i want it really bad and if you could tell me how much it costs thanx
20090225091528AA3DtLD	Games & Recreation;Video & Online Games	Pokemon Diamond blue,green,yellow, and red shards...?	What do you do with them?   i mean i left my book at my old house, and i'm not gonna visit there any time soon, but can anyone tell me what do i do with the shards?      please and thank you
20090225091943AAcri7Z	Games & Recreation;Video & Online Games	SONY PSP FAT is still available on BESTBUY?	i would like to ask if the sony psp FAT is still available on any bestbuy stores?? or any other stores? thanks       first one to answer earns points... :D
20090225091739AAj8qQR	Games & Recreation;Other - Games & Recreation	Can 2 different CO2 tanks of different sizes hold the same pressure?	If so will the bigger one be able to fire more shots? This is a paintball question fyi
20090225091903AArhwuX	Games & Recreation;Hobbies & Crafts	In Warhammer fantasy, can skirmishers march full (twice movement value), then shoot?	For example, can skink skirmishers move twelve inches (marching, having have a Movement value of 6) and fire? I understand they'd have a -1 penalty for moving and shooting, but still...
20090225094035AAik761	Games & Recreation;Toys	Has anyone used HMV GIFT CARDS before?	Yh i'm wondering,can you use 2 or more simultaneously for one purchase?I have two gift cards,with 20 pounds on each,can i use them together?
20090225092829AATDy2o	Games & Recreation;Hobbies & Crafts	What is the best way to find out the true value of Old Postage Stamps?	I need a free website, to look up old stamps?  I have tons.
20090225092553AA2Gwco	Games & Recreation;Video & Online Games	Zelda Phamtom of HourGlass Secend Sacred Crest?	How do i draw the second crest in the red door   no matter how many times i draw the triangle it wont work >.<"
20090225092741AAL3WLM	Games & Recreation;Video & Online Games	Harvest Moon Tree of Tranquility....Where is?	Gull Island. I need to get the "ROCK LOBSTER" before I can marry Toby....Any Ideas where this place is?
20090225092752AAKRQaG	Games & Recreation;Video & Online Games	Where is a good place to sell my World of Warcraft account?	I quess ebay won't sell game accounts anymore and i am looking for a good place to sell my account. All or most MMO buy/sell websites offer as little as 90 bucks for a lvl 80 account and not much more than that on other sites and then turn around and sell them for 5-6 times that much. I think this is ridiculous. Does anyone know of a way i can get the money out of selling my account that it's worth instead of getting ripped buy these other MMO sites who only offer me a fraction of what it's really worth?
20090225093258AAerJF9	Games & Recreation;Video & Online Games	Is it usefull to train pray on a range/mage pure?	I hesitate to train pray to 45 on my pure mage/range (65) cuz im memb and if i don't train pray and don't do restless ghost i cant get to canefis and cant train slay, whatever are mystic might and eagle eye usefull?
20090225093704AAYkfRa	Games & Recreation;Video & Online Games	Question about the Mlb 2k9 demo?	Right now i dont have access to xbox live so i cannot download the demo.  is there anyway to download it off the computer onto a disk and play it that way
20090225094037AA8ZlRv	Games & Recreation;Video & Online Games	How can I get the KILLZONE 2 demo?	If I didn't pre-order the game from GAMESTOP, can I still get the KZ2 demo.  I already preordered the game on AMAZON.  Am I just S.O.L.?
20090225063347AAq0fM3	Games & Recreation;Video & Online Games	Video game comparison GH stuff?	which giutar hero is better ?
20090225062709AAITDu0	Games & Recreation;Gambling	What will be the weather in Johannesburg over next 1 week, I bet on DRAW as I expect rain on 3 days at least?	Australia Vs South Africa 1st test match
20090225094538AANqrHj	Games & Recreation;Video & Online Games	I need torrent where i can download almost all the albums of Gipsy Kings?	N/A
20090225094818AALkRd4	Games & Recreation;Toys	I would like to find a good mad lib?  Anyone know where I can get one on line?	N/A
20090225094916AAgtaz9	Games & Recreation;Video & Online Games	Pokemon Diamond/Pearl?	In pokemon Diamond/Pearl can you catch all of the other pokemon from the previous games as well? Or is it just the new lot + a few of the older Pokemon.
20090225095007AAYPAnq	Games & Recreation;Other - Games & Recreation	What video game do you regret buying?	Everyone has to have a game they regret buying to play like you thought the name of it was cool or the commercials saying it was cool. But then once you played it you soon realized "wow this game SUCKS!" the game i regret buying is World of Warcraft but what's your's
