20080719021327AAXwMZS	Local Businesses;Italy;Venice	Quali sono le cartolerie più importanti e rifornite di venezia?	grazie 1000
20080610162634AAecPgp	Local Businesses;Brazil;Belo Horizonte	OH!!! favelaaaaaaaaaa?	Gente vcs acreditam que teve aqui em Bh um jogo de CruzeiroXVasco e eles fizem uma bagun?a do caramba aqui???   depois os cariocas acham ruim qdo chamos eles de favelados...eles bateram em cruzeirences que estavam esperando o onibus!!!   Criocas toma providencias com esse estado seu aí né...
20070122094047AADgeG4	Local Businesses;Germany;Cologne	Siempre dejo para ma?ana lo que tengo que hacer hoy ?SERé EL HOMBRE DEL MA?ANA?	N/A
20070107133819AAXY8tF	Local Businesses;Germany;Cologne	@Mi esposa dice q su jefe le mato el oso a pu?aladas, yo ni sabia q tenia mascotas?	Llego muy despeinada y me dice q tuvo una ri?a con su jefe x culpoa de ese animal. Por q no me habia dicho q teniaamos mascotas?
20070106103458AAc6IWu	Local Businesses;Germany;Cologne	Si los reyes magos son los padres, Darth vader es Baltazar?	N/A
20070108164611AA4qkdv	Local Businesses;Germany;Cologne	YR es una nueva forma de comunicacion?	Si es así es una c*g*d*
20070110060155AAQA1Pt	Local Businesses;Germany;Cologne	Es verdad que pinocho andaba con pinnueve?	N/A
20061227124425AA6Iq7L	Local Businesses;Argentina;Buenos Aires	Necesito juntar $ 28000 alguien puede donarlos? sino pierdo a mi familia  antes del 3 de enro?	N/A
20070116092355AA3uA0Y	Local Businesses;Germany;Cologne	?Porque a los homosexuales les dicen los incapas (con s)?	N/A
20070122094826AA2EQQD	Local Businesses;Mexico;Guadalajara	Donde puedo conseguir un sombrero volteado?	N/A
20070127080852AAloBrf	Local Businesses;Mexico;Other - Mexico	Alguien me puede decir si esto es un fraude?	Oigan, tengo un cyber café y ayer vino un se?or (como dato curioso vestía uniforme de soldado) a decirme si no me interesa ofrecer en mi negocio el servicio de recarga de tiempo aire de celulares por medio de internet, según él no tengo que invertir nada, lo único que debo hacer es ingresar en una página web que él me va a indicar, el número de teléfono del cliente que desee recargar su saldo, luego yo lo único que debo hacer es cada semana pagarle su dinero al se?or y quedarme con una peque?a comisión por la venta. Todo suena muy fácil y muy bonito pero no sé, a mi me dio mala espina, alguno de ustedes sabe si alguien está haciendo fraudes usando alguna trampa de este tipo? ?o de verdad es un negocio "inocente" y legal? les agradezco de antemano si alguien me puede dar alguna información sobre esto.
20090222235302AAObHgM	Local Businesses;United States;Philadelphia	Ole Glory Ale House - Philadelphia?	Anyone remember the Ole Glory Ale house? Was on Walnut Street between Moravian and 13th Street. Anyone know whats there now?
