20060728070641AAMHFLL	Yahoo! Products;Other - Yahoo! Products	How do I get a yahoo avatar instead of my picture wuth a smiley face? I want to change it- soon!?	I already chose to have no picture... but can I change that now? If so, HOW?
20060829161302AAqslyr	Yahoo! Products;Yahoo! Answers	Why do avatars show some times and not others?	N/A
20060902125729AAX9WAk	Yahoo! Products;Yahoo! Answers	How can i see if my friends...?	How can i see if a friend of mine is using yahoo answers and the questions he asked...?
20070111063609AAMiSJW	Yahoo! Products;Yahoo! Answers	Wenn es jetzt auf einmal die DM wieder geben würde?	würdet ihr sofort wieder damit zurechtkommen?   mit dem 50 pfennigstück(fuchs)   mit dem 10 pfennigstück (groschen)   mit dem 2 mark stück (zwickel)   mit dem 5 mark stück (heiermann)
20070107112850AAX30gw	Yahoo! Products;Other - Yahoo! Products	A music link?	ok here's my question can someone PLEASEEEEE send me a link so i can watch/listen to videos by Godsmack as yahoo dosen't want to fix there music?
20061106113641AA5Bbgz	Yahoo! Products;Other - Yahoo! Products	Does anyone from reunion.com read this?	Hi I'm on reunion.com and don't have a credit card, so I can't contact you. So, if you are a member can you plz contact me if u are looking for me at kattz1111@yahoo.com ?
20090202202212AA5ZVxa	Yahoo! Products;Yahoo! Answers	How do i get points on here, i am new at this and i don't know how ?	i just found out that you have to have points to ask questions and stuff, how do i get points?
20061107181450AAaZLZr	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I'm trying to download the handwriting feature for msn massenger?	can someone help plz
20061123135335AAetLJX	Yahoo! Products;Yahoo! Answers	How do I answer a question on here!?	N/A
20061208081657AAwp9AR	Yahoo! Products;Other - Yahoo! Products	I would like to set up another yahoo account?	N/A
20061215025527AA32KmI	Yahoo! Products;Yahoo! Mail;Problems with Service	Why cannt i sent cards in my email?	N/A
20070112073251AAfrEtm	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Do yahoo notify me when  a reciver opens my yahoo email?	it so cool for me to know it!
20070115073602AARi4xa	Yahoo! Products;Other - Yahoo! Products	Do you know an Eddie perhaps ?	Hi,       I have tried to find af friend of meine on any ways on this site.    I just cant find him. Now i need youre help!!!!!!    I met him on a cruise for about an week ago, i dont know much about him- I just know, that i really need to talk to him!.    His name is Eddie, i dont believe he lives in US. I think he might be living in the Uk , or romania - But i cant tell for sure.    I know he use yahoo mail, but i have been seeking on this site for several of houres. Please help me!!!   Do you know any Eddie, how will match my descrebsion - Then please write to me, my mail is ceciliehaldrup@yahoo.co.uk    If you just have an advice to what a could do, then please write.       Thanks in advance.      Kind regards,    Cecilie
20070119065311AAJjAF8	Yahoo! Products;Yahoo! Answers	Do you ever just make up random questions on here cuz ur bored?	Or ask advice for something you don't need advice for just to see what people say?
20070125044637AAxdICb	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	I want to recover my mail after deactivation happen on mail id because of no access?	i lost all last year 2006 mails from my yahoo mail i want them back
