20060817121730AAhxF3J	Consumer Electronics;Games & Gear	Qual é a vantagem que eu ganho respodendo isso?	? tenho a dizer
20060901102341AAeaUoo	Consumer Electronics;Cell Phones & Plans	Só pra quem é fanático!!!?	VOCE CONSEGUIRIA VIVER SEM INTERNET E CELULAR?
20060912132802AAf7s7h	Consumer Electronics;Cameras	Qual marca de cameras digitais vcs mais gostam e porque?	N/A
20061005165812AATmdlm	Consumer Electronics;TVs	Quem é o único homem que usa cueca por cima da cal?a?	N/A
20060915121813AAev7a2	Consumer Electronics;Other - Electronics	Qual é o melhor ant virus gratuito?	N/A
20090203082848AAWyiLn	Consumer Electronics;Cell Phones & Plans	Which phone is better iphone or nokia 5800?	Please answer if you have tried both phones. thanks
20090203100526AAaCTv6	Consumer Electronics;Cameras	My computer won't transfer photos from my camera. I've tried a different USB port but nothing happens!?	What can I do?
20090203100955AAN7NcH	Consumer Electronics;Cameras	Stabilizer Modes on Panasonic DMC-FZ30?	This camera has 2 Stabilizer modes. Was just wondering what stabilizer mode people generally leave this set to get best pictures. Thanks, Andy.
20061017152944AAsdamF	Consumer Electronics;Cell Phones & Plans	Voce liga mais para telefone fixo ou celular? Porque?	Quando voce vai fazer uma liga??o, se voce tiver o numero do celular da pessoa, voce se preocupa em saber se existe um telefone fixo pra ligar e pagar menos? Ou ja liga direto no celular? Porque?
20090203085057AAVPQJn	Consumer Electronics;Cell Phones & Plans	Best deal on cell phones prepaid?	N/A
20090203093049AA3XAcG	Consumer Electronics;Cell Phones & Plans	How can you turn off, low battery sound on lg cookie, low battery sound still beeps when my phone is on silent?	N/A
20090203093339AAT1Ezg	Consumer Electronics;Cell Phones & Plans	Why my iphone when i insert sim card it appear no sim?	N/A
20090203094254AA81mPN	Consumer Electronics;Cell Phones & Plans	Can i send free text messages from my laptop to mobiles?	ive seen these ones where they charge per wk....i know last year i was on a site that did free texts but i have forgotten it
20090203100545AA9nUQ7	Consumer Electronics;Cameras	I am going to purchase a Canon Rebel XSi, with the 18-55mm lens, what else do I need to get?	I am going to purchase a Canon Rebel XSi, with the 18-55mm kit lens.  I am looking to take photos of my 1 year old, both portraits and action shots.  I would like to be able to capture that one second when she is looking at me out of 50 as well as getting close up shots on those rare occasions when she is sitting still.    I would like a quality lens, but as inexpensive as possible, not "cheap" though.  Is this one lens adequate? I am a first time DSLP user, with an interest in photography, but no training, and will be using it for personal reasons only.  I would also like to have as little gear as possible (but still everything I should have for the best pictures) so I can take it on the go with me.    Thank you!
