32059327.html		申请(专利)号：200520024025.1	在国家知识产权局的网站上查找某一发明是否获得国家授予的专利，如：申请(专利)号：200520024025.1，这个号码是申请人提出时有关部门编的，还是国家批准后授予的专利权号？另外，在这个申请(专利)的文件中，颁证日一栏是空，这是否说明这一申请(专利)还没有获得专利？
169055987.html	百度知道/社会民生/其他社会话题/	犹太人为何要复国于巴基斯坦	rt
181252626.html	百度知道/娱乐休闲/脑筋急转弯/	成语在人什么期	成语在人什么期
181003759.html	百度知道/游戏/网易游戏/魔兽世界/	狂心 神谕者 哪个好	狂心 神谕者 哪个好
362562115.html		求龙珠全本漫画下载，电纸书上能看的	conggeonline@163.com
184065918.html	百度知道/生活/交通出行/	火车票提前十天买怎么计算？	我要买9月26日的北京至大连的火车票，请问我是应该9月16日晚上7点去买吗？还是17日去买？有时间点的话最好解释一下 谢谢
17746003.html	百度知道/娱乐休闲/电视/	<<活下去>>为什么要配音？？	这是新加坡的电视剧 人家说的就是中文 我国引进来 为什么还要另外配音\r\n\r\n还有 主题曲就是中文的 还傻不拉及的 在下面弄上字幕 ：“歌词大意：......”
18277442.html		吉林长春星际争霸有比赛吗？	真不知道吉林长春这边有没有高手\r\n\r\n如果是吉林长春玩星际的请加群号：10742700\r\n10742700
175424577.html	百度知道/娱乐休闲/电影/	找一部内地爱情电影	男主角是一名铁路维修工，有一天救了女主角，女主角好像被拐了。后来男主角叫她回家，但是她不回，还每天送饭给男主角。男主角每天走几公里的铁路，把每一颗螺母都拧好。男主角还每一天都写好一封信，就扮作一位老人的儿子，寄给这位老人吧。好久前的电影，好像找回来看，但忘了名字，救救我吧。。。
380575308.html	百度知道/娱乐休闲/度假旅游/	公司组织成都周边一日游，请推荐一下。	马上就妇女节了。工作准备组织女同胞出去耍一下。早上去，最好是晚上8点之前能回来的大概30人左右，帮忙推荐一下啦。。。 除了古镇还有其他的吗？\r\nPS:订的时间是3月11日，星期天。 要去天气适合的地方哦。
184084833.html	百度知道/电脑/网络/常见软件/多媒体软件/	友立数码影像动态素材库下载后怎么用啊 就是40G的那个 我用的是 会声会影 X3	下载的格式是 ISO 光盘的 要怎么载入 会声会影X3 里面啊
172646053.html	百度知道/地区/北京/	从大兴黄村怎么去北京科技职业学院八达岭校区	谢谢各位回答啊
381706922.html	百度知道/游戏/腾讯游戏/地下城与勇士/	dnf修罗首饰问题	阿修罗70了，没有时间做悲鸣首饰，不知道有没有什么首饰可以代替，现在带的远古2首饰。随便问下这个号值多少钱：等级70，时装是2011夏日礼包，55CC套，加7无影，远古首饰，金毛球宠物。大家帮忙估下价
521397093.html	百度知道/娱乐休闲/动漫/	想不起名字的动画，所以拜托了 orz 回答正确后优先选最详细的那位	首先这是一部日本动画片\r\n其次主角有俩个，一男一女。\r\n女的有一个妹妹，男的祖父是考古专家，她们相遇在某热带丛林的海岛上\r\n男主角一开始坐飞机来到女主角的村庄为了寻找一座遗迹\r\n女主角空灵的歌声会引来很多的小动物，唱歌时会引发遗迹的共鸣\r\n男主角意外在遗迹旁偷看到女主角晨泳的场景\r\n后来发生在天空中的激战，男主角爆种救回黑化后的女主角\r\n时限内加分奖励制\r\n一周内=10分\r\n＜24小时=20分\r\n＜12小时=30分\r\n＜6小时=50分\r\n＜3小时=80分\r\n≤1小时=100分\r\n≤30min=150分
530090580.html	百度知道/商业/理财/银行业务/	邮政银行密码忘了挂失钱少了，这是怎么回事呢请大家帮帮忙呀	邮政银行密码忘了，我的卡里有2700块到了银行挂失就剩343元，之前在提款机里有速录密码会出现100,200，等等，500的被我按一下，就是密码错了卡就出来了，我有试了好几次呢是不是跟这有关被扣吗？请大家帮帮忙呀？本人真的狠急 呀
514492809.html	百度知道/游戏/网易游戏/魔兽世界/	魔兽争霸历史小说	请发送到591891569@qq.com 好人一生平安
415822137.html		早上WPS2003打印时显示未安装打印机，用WORD打印时，要在“文件--打印”一栏中重新选打印机才行，怎么办？	早上将办公室用路由器连接的三台电脑共享了打印机。现在就出下这个问题了！
404231872.html	百度知道/电脑/网络/常见软件/安全软件/	联通宽带一上魔兽世界就掉线,网是我自己，电脑病毒也查杀了，没问题。	而且联通的人员来过，说线路没问题，插头也没问题，猫也很正常，。我又从做了次系统，又深度查杀了木马。现在电脑健康。可还是频频掉线。大侠们谁能解决一下，受不鸟了。打战场掉线，打副本也掉线，野外砍怪还掉线，这是不让我玩魔兽了！上QQ，什么的都正常，就是一上魔兽就掉线，有事下了魔兽还会持续掉一段时间，过会就稳定了！
59663136.html	百度知道/生活/美容/塑身/	早上跑步减肥好还是晚上跑步减肥好？	我有时候是早上起来跑步，有时候是晚上，因为有时候偶尔想睡下懒觉，就在晚上跑步拉，这样会不会影响减肥效果？还是一天内只要锻炼够时间就行了，不管什么时候都行？？？
48231344.html	百度知道/烦恼/两性问题/	精子!救命..	我的精子是黄色稀疏的,有无问题 啊?
63709410.html	百度知道/电脑/网络/操作系统/系统故障/	我的系统为什么这麽大	我的系统为什么都有10G一般的不是只有2G左右吗？\r\n为什么我的会超这多呢？\r\n我也每天清理垃圾!\r\nC盘就装机的时间人家给我装啦点软件《暴风.360.瑞星.》别的也没什么啦\r\n剩下我装的软件啦 游戏啦 都在别的盘！为什么还这大呢！
508306111.html	百度知道/教育/科学/学习帮助/	作文《说话算话》	要求写一篇初三女生的作文 600字左右吧 ...就行了
518875046.html	百度知道/商业/理财/	我朋友有个车，车险买几种?有知道的朋友帮忙回答一下，回答就是一种美德。	我也想知道怎么办？有知道的朋友帮帮忙吧。
47690960.html	百度知道/文化/艺术/器乐/声乐/	初学电吉他(高手来回答)	我非常喜欢音乐,特别是ROCK PUNK EMO.之前买了把极便宜的练习木吉他,弹的很没劲...我现在是高2学生,由于今年下半学期就要出国留学,所以现在在家里,不去学校,有大把的时间.很想学电的.由于是初学,开支预算在[1200左右],只想要把琴和一个有失真的音箱. [自己非常喜欢epiphone les paul形状的琴,当然正货肯定买不起.看到其他问题里的回答讲仿les paul形状的琴音色也还行.不知道和sq价格差不多的比起来如何.有用过的人请作出评价] 现在家里没什么事情干,基本就是备战国外的教材,有很多空余时间. [希望高手给一个练琴计划,最重要的是我想要一本好教材,最好是国外出的]\r\n\r\n问题要点都在[]内
67311473.html	百度知道/游戏/网络游戏/	现在都在玩什么游戏呢	唉 什么游戏都玩到最后很无聊要不就是没人玩了 谁推荐个好游戏
290298299.html	百度知道/教育/科学/升学入学/考研/	30岁准备考研，还有意义吗？	30岁了，想考理工类的研究生，不知毕业后就业情况如何，
311654868.html	百度知道/生活/家电/	全自动洗衣机是否能一直开着水龙头	我的全自动洗衣机洗的时候开着水，结果我睡着了，醒来以后家里成了汪洋，这是怎么回事？难道不能开着水龙头
5792087.html		什么植物养在家里可以消除烟气，对空气清新有好处的？	家里吸烟的人多，弄得不吸烟的人很难过，而且担心自己的健康，想请问个位有什么植物养在家里可以消除烟气，对空气清新有好处的？\r\n很困扰，谢谢各位能给指点迷津。！！！
63810522.html	百度知道/文化/艺术/文学/小说/	咏雪（古文）	读了这则故事，谈谈你的感想
400239409.html	百度知道/游戏/单机游戏/	SCWU界限突破出招表图	我要的是图...不是那些字...\r\n332399343@qq.com
287294375.html		好玩的新疆传奇私服	咬的是新疆传奇私服。要好玩的，人气的， 有的给个地址
422811190.html	百度知道/生活/交通出行/	本人在上海驾校报名快半年了.连理论都没考过.就上过俩次车.每次打电话问他就说快了.我害怕他是骗子	所以想让那位好心人帮忙查询一下他有没有给我报名？
520917749.html	百度知道/电脑/网络/互联网/网站使用/	明晚准备约一个女网友吃饭	我们都是在论坛里面认识的，如果去吃饭的话就是晚上下了班过去，现在酒托不少！怎样预防酒托呢？
409299263.html	百度知道/体育/运动/足球/	西甲最强的足球队？	...说葡萄牙和荷兰的联赛也无法与意甲、英超、西甲相提并论。...洲各类队伍当时风头很劲那非洲队应该是实力最强的对,那支美洲队之前不久打赢过中青队应居......所在的俱乐部也来过,也不过是和当时的中国足球队打得难解难分而已。那个时代刚刚起步的中国足球队也曾经和拥有年轻的马拉多纳的阿根廷队交
285482048.html	百度知道/教育/科学/外语学习/英语翻译/	用英语翻译 1 在过去的十年中，城市变化很大 2我们班大多数同学被邀请参加聚会 3经理派mike去英国出差	4 as a volunteer , i _ my time 格林先生搬家了
372232518.html	百度知道/地区/四川/成都市/	成都有没有包吃住的工作 ？	不知道那里有没有老乡 ，可以照顾下我 ，我从小娇声惯养的 ，我自己想出去磨练下自己 ，但又要遇到坏人 ，你们说我该怎么办？
287029717.html	百度知道/电脑/网络/笔记本电脑/其它笔记本/	今天元旦买的笔记本电脑，宏基4741G的，出现过两次颜色变浅的情况，不知道是什么原因？	就是显示的颜色突然变很浅，像被抽离了原来的某种色彩，比如深红就变那种不正常的鲜红，过程不超过10秒钟，然后自己又恢复了，请问下这是哪的问题呢？因为期间就出现过两次短暂的这种问题，找售后的话不知道他们能不能查出来怎么个维修法。
287701758.html	百度知道/电脑/网络/常见软件/浏览器/	在快速启动栏中“显示桌面”“浏览器”等快捷键没了	快速启动栏中的“显示桌面”被不小心删除了怎么办
