20080102150336AA8W6I0	Games & Recreation;Gambling	Yo no soy antisocial?	la sociedad es anti Yo??
20080107145011AAtJBI9	Games & Recreation;Video & Online Games	Buying psp help?	hey im thinking about buying a psp from my friend. The psp is a year old. he is giveing me the psp a hard case 3 movies and a few games. Im giving him 130$. I was wondering if that is a good deal. Also he says it is the best type of psp. Is there different types of psp's? If so what are there price ranges?
20080212180005AALi6sK	Games & Recreation;Video & Online Games	Question on Flight Simulator X?	When I play free flight, that's just me playing and a bunch of other planes. I ask the tower to allow me take off. Also when I go to a big airport, and I ask permission to land how do I know where it is       Thank you
20080128162827AAakr4G	Games & Recreation;Video & Online Games	STEREO NINTENDO 64 N64 AV AUDIO VIDEO A/V CABLE CORD can i use a different cord?????????????????????	STEREO NINTENDO 64 N64 AV AUDIO VIDEO A/V CABLE CORD       i lost it so can i use the playstation 0ne or playstation two cable cord?????      or give me a liste of cords that works .       or can i only use STEREO NINTENDO 64 N64 AV AUDIO VIDEO A/V CABLE CORD ?   i need a good answer.
20080126122809AAPqZsf	Games & Recreation;Video & Online Games	Re-Volt - 10 punti?	Sapete dirmi se è uscita una nuova versione di questo magnifico gioco? E' mica uscito Re-Volt 2??   Esistono delle espansioni per il gioco? Nuove mappe? Nuove macchine?    10 punti a chi mi aiuta!
20080131132320AAgUHJd	Games & Recreation;Other - Games & Recreation	Is Paloma Medina sexy?	N/A
20080222041001AA8ucS1	Games & Recreation;Video & Online Games	Connection troubles - Medal of Honor Heroes 2, Nintendo Wii?	Hey there,      The online gameplay for MoH Heroes 2 has been working perfectly for me over the past few days, but today and yesterday I kept getting the same error which doesn't enable me to play.      I can get into the lobby no problems; I see all the current games, but when I click on one, it says 'Connecting to Server', I wait a bit, then 'Connection could not be established' appears.      It was working fine 2 days ago, but now I can't even get onto a game. It started when I was disconnected from a game, if that helps any.       Any help is much appreciated. I run off a Belkin Wireless Router also.      Thanks.
20080223210402AAcFx3T	Games & Recreation;Video & Online Games	In World Of Warcraft, how do you spend honour points for PvP?	I am a Lvl. 11  Dwarf Hunter and i PvP at Bloodsung Gulch. How do i spend my hard-earned honour points??
20080317121829AAWbHF6	Games & Recreation;Video & Online Games	Do you prefer Pokemon Red/Blue or Firered/Leafgreen?	N/A
20080229130457AAS5PYs	Games & Recreation;Video & Online Games	Where can I download ps2 roms?	I have a pxc2, where can I download games for it?
20080229185213AA4WUtA	Games & Recreation;Other - Games & Recreation	?Cual puede ser la causa para que me atraiga el peligro?	N/A
20080303203619AAOSiX8	Games & Recreation;Hobbies & Crafts	Que se ignifica el nombre de berenice???	gracias!!!!   ???
20080306062813AAGH7lv	Games & Recreation;Video & Online Games	Come faccio a mettere uno gioco ps2 più grande di 4.7 gb su cd?	Ho un gioco ps2 grosso 5gb e mettendolo su un dvd da 4.7 si blocca sempre perchè nn è stato inserito tutto, come faccio a mettere giochi ps2 più grandi di 4.7 gb su dvd?
20080311184447AAaQNAc	Games & Recreation;Video & Online Games	In Halo 3, On Xbox Live, how do you officially start a clan and what other applications would you need?	Also, how do you add members?
20080301032128AAtWseu	Games & Recreation;Video & Online Games	Whicg Game Is Better?	Which game is better? This question is a bit tough I guess. Take your time & also say why the game you chose is better.        Pokemon FireRed+LeafGreen   OR     Pokemon Yellow
20080306140153AAJeBbk	Games & Recreation;Video & Online Games	Does anyone know any good action/adventure or fighting games for PSP?	Games like soul calibur or street fighter type fighting and good adventure games
20080321095305AAw7AB3	Games & Recreation;Other - Games & Recreation	Qual è la vostra giornata tipo durante le vacanze?	N/A
20080415092218AAPp6gn	Games & Recreation;Other - Games & Recreation	Scusate, ma posso pagare con un assegno scoperto?	per caso?
20080331122047AAplxfM	Games & Recreation;Other - Games & Recreation	Ragazzi! v va un test mentale?	è carino ... ho 20 anni ed hanno calcolato la mia età celebrale : 20...allora non mi preoccupo! Fatelo e poi fatemi sapere età e risultati!
20080502185432AADxbtD	Games & Recreation;Video & Online Games	Does wireless xbox live lag really bad?????	i just got a tv in my room and there is no way to run a cable up stairs and around everything.     I want to get a wireless adapter.     Do they all lag really bad?   best one to get? Microsoft one or what??
20080429155831AAUrcuA	Games & Recreation;Video & Online Games	On GTA 4 on xbox 360 how do you get in taxi?	N/A
20080502175201AAZK1VR	Games & Recreation;Video & Online Games	My oblivion disc wont work on my xbox 360?	when i put it in and load it the bar gets nearly full it just stops and freezes . and i press buttons but it freezes. i can play all my other games . i played oblivion for like 6 hours in a row maybe thats it. help!!!!!!!!!!
