20090227074125AAU0fb3	Travel;Canada;Other - Canada	Is Simcoe,Ont. a good city to live in ?	Is it immigrant free ?
20090227075335AAFaLyf	Travel;United States;Chicago	Has anyone been to Maxbar in Chicago?	What is the dress code for guys/
20090227075620AAt1i6n	Travel;Africa & Middle East;Egypt	Question on Supermarkets in Egypt (Alexandria)?	Do the large supermarkets or markets in general in Alexandria Egypt carry some of the same products that American supermarkets do?      Specifically:       Skim Milk, Evaporated Milk, Condensed Milk, Sour Cream, Pasta Sauce in Bottle for Spaghetti, Stocks-Chicken/Beef Already Packaged....etc      Can vegetables be found in a frozen foods section? (Peas, String Beans) & American Style Milk Ice Creams-Vanilla      And Cheeses: Specifically *MOZZARELLA* and CHEDDAR CHEESE
20090227080943AASepTf	Travel;United States;Other - United States	N.y. / Atlantic city toll on I95?	what is the toll? going on a road trip TO NY thanks!
20090227080603AAj8lW9	Travel;United States;New York City	Best places in NYC to take someone who has never been there (at night)?	So...my aunt (24) finally came stateside and it's her first time in the United States - specifically New York City. I'm taking her out to see the sights tomorrow night and would like to show her places that would dazzle her. I'm starting off at Times Square...but that's the only awesome place I know at night (sad because I'm a New York native...haha). I'm not taking her out clubbing because 1) I'm into metal and 2) She's not into clubs. Perhaps the Hudson River as well?
20090227082131AAF1mtr	Travel;United States;New York City	Can you name all the Newark cities that start with a B in nj?	I'm trying to find a town name in newark it started with a B but i forgot it was like berrington well at least it sounds like that. googlemaps is not helping... pls help if i'm spelling it wrong too
20090227082746AAKnY9q	Travel;United States;Philadelphia	In the city of Philadelphia, PA if you fail your learner's permit after three times, is there a six month wait?	I am trying really hard to pass my learner's permit test but have failed it twice. A friend said that after the third time you either have to pay again or you have to wait six month's until you can try again. When I went the first time, I did find out that you don't have to pay until you pass. But, as for the six month thing, I don't know. Does anyone know if this is true?
20090305100853AAkxiby	Travel;Travel (General);Other - Destinations	4 people in a hotel room - 5 guests, how would they know about the extra person?	Ok, so basically for my friend's birthday her mum bought her a night at the hilton with 4 extra people. But she wants to invite 5, how would the hotel know if there were 5 guests not just 4 in the room?      Thankxxx
20090305100409AAKokeP	Travel;Australia;Other - Australia	I'm worried about my relationship whilst travelling?	I'm worried about my relationship whilst travelling?      Me and my girlfriend are going to apart for about 6 months. She's travelling (backpacking, with a single female friend) through Asia and Oz. I'm going through South America and Africa. Obviously we'll have phone calls and the internet to keep in touch, and I'm not worried about myself cheating because I love her to bits....I just keep getting paranoid she'll do it to me.      Just want to hear from people who have been travelling through Asia and Oz whilst away from parntners.....did you find it easy to stay faithful or was it hard and the opportunity to cheat at every corner? How long were you away from your partners? Did it bring you closer together or did it drive you apart? I really don't know what to expect and I'd like some feedback from people who have been in similar situations.      Thanks in advance      Danny.
20090305120551AAFHx7s	Travel;United States;Los Angeles	What is the weather like in LA in the following months?	February   May   August   December
20090305110901AApEh4X	Travel;India;Kolkatta	Burgess model for Calcutta/Kolkata?	Why are the richer houses situated around the centre and why are the poorer houses situated furthest away?
20090305105420AAxQ6Vz	Travel;United Kingdom;Other - United Kingdom	How do you become a legal citizen of the UK? (permanent citizen, not just a visa)?	How do you become a permanent citizen of the UK? Not just getting a visa, but being a permanent citizen there.
