20090203150040AAITUBF	Pets;Other - Pets	What is a Rabbit????????????????????????…	Is it a rodent? My friend who is wrong says they are!!!
20090203150354AAY2nwO	Pets;Other - Pets	What is your fav animal?	Mine is a Monkey!
20090203150230AAJGhDH	Pets;Other - Pets	Which is better rats or mice?	see i wannna buy a rat or a mouse but idk which is better. rats are cute and i like that they are bigger but my dad said that they dont have bladders so they constantly pee and i want it to hold n cuddle n wat not so i dont want pee all over me. but i also really like mice but i think i like rats better dad said they same bout mice but rats are worse. but i have heard that rats are really good pets so thats another reason why i want one but im not sure. does any one have any advice or experience. which is better which should i get.       oh also which would be more loveable and be a better pet cuz also i have herad rats are better when it comes to that kinda stuff
20090203150346AAnifnY	Pets;Rodents	Possible mouse color types?	I have a silver (yes, ruby eyed, before you ask) male mouse.   What color female mouse should I mate him with to ensure the most possible pups of his coloring.   (I'm looking for friendly advice only - simply an educated guess. Please don't condescend upon me over how little I know about mouse genetics, it's just a question.)
20090203150633AA0EQJK	Pets;Reptiles	What type of algae eaters will get along with my African Dwarf Frogs?	I have a small, very small glass fish bowl. I have 3 African Dwarf Frogs living in it. No filter, they don't need it. Their doing perfect. I was wondering, can they have any sort of algae eater or bottom feeder that can live with them without the filter? or is this not possible.      Thanks so much!
20090203150947AAVUh5a	Pets;Other - Pets	How much does it cost to buy a bunny at the Florida State Fair?	What is the average price for a bunny?      Should i buy it at petco instead?      any suggestions otherwise?
20090203151126AAjS6Gi	Pets;Dogs	My dog is scared of just about anything and everything.?	I have a shih tzu female about 6 months old or so and she's scared of like anything, she never puts her tail up because of it. It might be because we've had a hard time keeping her up to good standards as in potty training and what not, we yelled at her a lot about it, but not ridiculously. Now every time we walk up to her she gets down and puts her head to the ground like we're gonna yell or stomp at her.      Her mom is our other dog and we've had her for three years and she was never like this.      Any help on how to get her to over come her fears?
20090203150732AADrnDT	Pets;Rodents	I need information on guinea pig pregnancy, please help!?	I need information on caring, feeding and housing the sow before and after the birth and also caring for the pups. I know it takes about 69 days for the pups to be born and that the pups should be separated by gender at a few weeks. What bedding should I use? All information is approciated, thank you so much!
20090203151447AAQpmPB	Pets;Dogs	Question about my puppy...?	Ok so i was just wondering (after seeing another question like mine)  can home animals sence wether someone is pregnant?      I have a puppy Rottweiller shes only 5 months and lately shes been hanging around me ALOT which is not normal!  She never ever listens to me and is always growling at me but lately shes been more mellow towards me.  Where ever i am she is.  Im not pregnant but i am going to find out tomorrow when i go to the doctors because im 7 days late for my monthly.      Shes a perfectly healthy dog aswell.  Playful 24/7 and is mean when she wants to be.
20090203151425AAftcYD	Pets;Dogs	Why do people always comment on akitas when most of them have never been in contact with one?	i have 3 Akita's that would never harm any one it is how u raise them it is like raising a child you teach them rite from wrong so if one child attacks does this mean all children are dangerous and not to be homed i don't think so
20090203151335AAK7kVc	Pets;Reptiles	Chinese water dragons?	Hi, my environmental technology class is going to be getting chinese water dragons babies. I have a few questions:      What do they eat when theyre young?   What should they eat when theyre older?   What should their tank have in it? (i know lots of water but thats it)   How often should you feed them?      And tell me anything else that you think i should know.   Thanks(:
20090203151209AAH5yP3	Pets;Horses	Bot eggs on horse's legs?!?	I live in New York, where it is extremely cold. Is it possible that my mini has bot eggs on it?! I am really worried. He is dewormed, but how much should I be worrying? I know how to get them off but they've been there for a few days at least. I just bought him.      Please help!!!
20090203151609AA1lSeX	Pets;Other - Pets	Can hamsters and mice live together in the same cage and a secrect?	i want ot get a hamter and a mouse but with out my mom knowing. i want to put them in the same cage but i dont know if they will kill eachother. plz tell me if u know and if u have any tips on how to keep a secrect. thx and plz HELP!!
20090203151308AAtWXsZ	Pets;Fish	How many liters per minute does the tetra whisper 10 gal air pump give off?	i cant find anywhere what the liters per minute are for the 10 gal air pump
20090203151409AAVUvMz	Pets;Dogs	Help With Dog Problems?	My dog has been what seems to be purposefully peeing on the carpet. Our floors are mostly carpet and my dog has been peeing around the time we usually take her out. Usually we are just about to get our shoes on or something to walk her and then she just pisses right in the floor. She's done it like 15 times at least in the past month and I need help because our pet of 11 years might just end up in a shelter. We've put her nose in it and everything, plus she's been trained. I don't know why she does this, it seems so spiteful.
20090203152313AAE1ieA	Pets;Rodents	Should i remove my guinea pig fro m my room?	i have a cold could he catch it
20090203151839AAongh5	Pets;Horses	Do you celebrate your horses birthdays?	I do! Haha. My horses don't age on January 1st...I don't like it!       They age on May 10th & March 23rd :)   I also give them a few extra treats for "presents" they also get either a "get out of work free card" or "get out of HARD work free card" :)
20090203151834AAucIwO	Pets;Dogs	Do you think she'll be okay?	My dog ate 50g of fine dark chocolate about 40 minutes ago. I once read that 20g of cheap milk chocolate can be fatal to a dog of her size (11lb).  My mum took her to the vets and just phoned to tell me that she was given an injection to induce vomiting.    So now my student savings account is now officially empty, since apparently it was my fault for leaving the chocolates out, I have to pay the vet fees D: which are way more than they should be because it's an emergency vet (it's 11pm here)    I don't know when they'll get home or what's happening so I'm kind of panicking.    Has anything like that ever happened to you?
20090203152350AAWOrbT	Pets;Dogs	What would you do if ? ?	my ferret started to eat my dogs food and i was wondering if thats ok
20090203152205AAiv3pu	Pets;Dogs	Puppies anyone have a yorkie?	does any one have a yorkie puppy for sale looking for a male   i will give out my email to anyone interested in contacting me please tell me about the puppy how old photos would be nice but not needed yet  my family loves animals!!!!! we have a doberman and he's spolied!!!!!!!!!!!!!!!!!!!!!! we aren't breeders
20090203152108AA7RS9X	Pets;Birds	Does anyone possibly know what my bird is doing? (short video)?	Here is the link to a video I have of my bird.  He does this to my hand ALL THE TIME.  literally.  I can't try holding him on my hand without him doing this and he does it so frequently that my hands are constantly cut up!  I promise it's a short video - under a minute.  If anyone has any idea or knows what he is doing, can you please let me know?   it's driving me crazy !!          http://www.youtube.com/watch?v=-uBMaxcYT... 
20090203151833AAFPMUV	Pets;Fish	How should I transport my betta fish?	I have a betta fish in a 5 gallon tank at college.  It is only a 1.5 hour drive from home to college, and I only have to take that trip 4 times the whole year with my fish, but I was wondering if there is a better way other than just putting the tank on my lap in the car to transport my betta fish.
20090203152436AAl9N30	Pets;Horses	What age of foal is best to get for a first time trainer?	I want to get my own untrained horse to train by myself for the first time. I found a paint/TB cross weanling colt that would be amazing but I'm just wondering if that is too young. It is already trained to lead, pick up its feet, etc. I understand that I wouldn't be able to ride it until its about 3 years.       do you think i would be ok with a weanling or should i get a 2-3 year old? I've been around horses since i was 7 (i'm 15 now). I know it takes a lot a of time and patience to train a horse.       don't just say i'm too inexperienced to train my own horse..because i know i can do it!!      so what do you think??       Thanks!!
20090203152906AAVEA4U	Pets;Cats	Will a male cat get along better with another female or male?	I dont want to say whole story. I will say a tiny tiny part though.    I found a cat 3months ago, had an owner but I couldnt find it . My mom is allergic so we are her temporary owners. One of my friends wants another cat.   He already has a cat, that is a male. My temporary cat is a female. So will that mean they will adjust to each other sooner, or not? Will they get along better or worse?      how should we introduce them?      Anything I should know about introducing two adult cats?      My cat I am quessing is about 2 years old maybe a little younger or older and His i think is from 3 to 6. So will it take them longer to get used to each other?      How long do you think it will take for them to get used to each other?      how long do you think it will take for my cat to adjust?
20090203152248AACoXDu	Pets;Other - Pets	My yahoo backgrounds?	bobby jack backgrounds for myyahoo
20090203151743AA5C96G	Pets;Rodents	What is the rumor about Richard Gere and gerbils?	N/A
20090203152518AA40dOp	Pets;Horses	Any ideas on a show name for my mare please?	I have a 13hh dark bay pure welsh mare, she is absolutely stunning, is very spirited and is extremely lively to ride but is also very loving. Any suggestions for a show name for her, i want her name to be included in the show name. her name is Spice.      the only thing i can think of is nice and spicy but im not to keen on that.
20090203152019AAvWH1M	Pets;Rodents	How close is my guinea pig to having her babies?	I adopted 2 females pigs mid December from the pet store.  About 3 weeks ago, we were able to confirm a pregnant piggie.  In the past couple of days the babies kicks are very strong, and when I "checked" her, there was a small white drop of something near her birth opening.  Is this like a "mucas plug" and she will be having them really soon?
20090203152034AAwbHJ7	Pets;Birds	I had lovebirds for alomst three weeks but they still are scared. wht should i do?	N/A
20090203152331AAXEaMI	Pets;Cats	What type of grasses are good for my cat to eat?	N/A
20090203152340AAAtuaz	Pets;Dogs	How do you keep a dog from going into your neighbors yard?	I have a 2 year old black lab puppy that always get into things. Lately, she has torn down part of our wooden fence and gone into our neighbor's yard. We've had to walk her on a leash in a our backyard when she had to go out. Is there any way to prevent her from going into our neighbor's yard?
20090203152914AAtqURs	Pets;Birds	Feathers on cockatiels (and lack thereof)?	I feed my cockatiel daily give him treats and play with him but he still seems mopey and right under his wings he's got bald spots his left cheek also has a very small bald spot, any ideas what it could be?
20090203152921AAMDgS5	Pets;Fish	Eheim 2213 Problem...?	OK I just got a whole tank set up that included the eheim 2213 off craigslist. Now i seen the filter work great at the guy's house. Anyway its connected with a UV sterilizer and the canister just doesn't seem to be strong enough to push the water up through the output hose; however, when i put the output hose lower and leveled where it doesn't have to work against gravity it just continuously siphons water. Note the canister seems oddly quiet you struggle to hear it at all, only if you put your ear on it you can hear it. Any Ideas? Is there some sort of extra pump I can get just to get the water moving through the tubes?
20090203153932AAQJ0hM	Pets;Cats	Cat dry skin!!!!!!!!           ?	Today when I was looking my kitten(about 4 months old)(black fur) i saw a little white dry skin(I think).. In his right ear and his right hand.. And we made a appointment w/ our vet for Thurstday. I was just wondering what it is??? That is go away?? Thanks
20090203153626AAmVR5W	Pets;Cats	How much is Cat Litter?	Like average cat litter?   Me and my dad are going to Jewel, and we want to buy cat litter for my cat.   How much does an average bag cost?
20090203153534AAsoDP5	Pets;Horses	Why do so many people want to breed?	Hello,   I'm not going to hate on you if you want to breed, that's not for me to do. I really don't think people should be breeding when there are good quality horses going for really cheap because people can't feed them. If you say "I'm going to breed my mare" I'd probably respond "Sweet, with who?" But what i'm thinking is..."Go save a horse!" I think the ONLY time you should breed is when BOTH the mare & stud are very accomplished. ;] This isn't really a question but I want to see what people say.       Thanks for your input
20090203154057AA3x3nD	Pets;Fish	Seahares. . . . . . ?	are they expensive   commonly sold?   will they take care of my hair algea that has begun to grow   will they eat my polyps (hopefully not)
20090203154603AA0jOlj	Pets;Other - Pets	What are things rabbits CAN'T eat...?	Like Things that might be harmful to their health?
20090203155340AA3k7d1	Pets;Dogs	How do I go about entering the UKC Premier dog show?	I've been searching, but I can't find the information I'm looking for:   What qualifications have to be on the dog?   What requirements are there?   Are there trials prior to the show that you MUST attend?   Do you NEED to pre-register?      Any other info I should know?
20090203154057AAMbTQr	Pets;Rodents	Any good hamster cages to buy for my honey bear hamster?	please no ovo cage.
20090203154913AAMmkBr	Pets;Dogs	My dog stinks -- what to do?	She was totally shaved 3 months ago (the pound did it because she was matted) and now has about 3/4 inch of fur.   But she's so dirty and stinky.   I bathed her 2 weeks ago but she's still filthy and she smells bad.   What should I do?   Wash her more often?   I washed her blanket on Friday and already it's really dirty. She doesn't roll in dirt or grass so I don't know what makes her so smelly and dirty
20090203154523AAlyQZ2	Pets;Dogs	Puppy vaccination question...?	I have my puppy signed up at Banfield Pet Hospital (located inside Petsmart), and so far, I am very pleased with the people who work there.       One of their vaccination is called Distemper Parvo LA Vaccination, and *not* DHLPP.       My question is, are these shots the same?  I know that D in DHLPP stands for Distemper, and one of the P stands for Parvo.        In the Banfield shot, are the Hepatitis (CAV-2), Leptospirosis, and Parainfluenza included in the shot?      Thanks in advance.
20090203153317AAo0R51	Pets;Dogs	Adopting a new dog problem (10 points!!!)?	okay my grandpa said he was gona get me my sibs and my cousins a dog. we are going this weekend to a shelter and gonna choose one out. the only problem is, we dont know what kinda dog we want because my house is HUGE and there are 7 kids in total. the ages are:   3  7  9  10  12     here is what we are looking for:   small   puppy  any breed    what kind of dog would be perfect for our family      PLEASE HELP   this is worth 10 points!!!!!!     thanks soooo much, just helped me out      * THIS IS THE FIRST DOG IN THE FAMILY*
20090203154817AAermXv	Pets;Reptiles	Can 2 male Bearded Dragons Live Together without hurting each other?	N/A
20090203154406AAvua6f	Pets;Fish	How can I make my tank more natural looking?	For a 30 gallon tank w/ gouramis, cories, platies, otos, and maybe some guppies. What "fake" plants can I use and what type of rocks can I use. Also what color gravel to go with?      Please answer all my ?s. Thanx best-described and most helpful gets 10 pts.
