20090202215836AAwYZEe	Local Businesses;United States;Houston	Boutiques in houston for teens or adults?	does anyone of any Boutique in Houston?   thanks
20090202225124AAufdVy	Local Businesses;United States;Dallas	Who buys used packing peanuts in the DFW Metroplex?	N/A
20090202225811AAeQqXC	Local Businesses;United Kingdom;London	Foriegn guy in england?	i wanna go to england    for studies.im a pakistani guy.please    tell me how ill be seen as a forigner.mention ur contry .wat will ihave to take care of.and any detail necessary.the longer the better  .wat is the reaction between gals and boys
20090202234935AAjtcjU	Local Businesses;Other - Local Businesses	Do they sell itunes gift cards in hongkong?	If so, what's the minimum amount?   I want to get one because i want to register an itunes account without a credit card.
20090202232809AAkAmkg	Local Businesses;United States;Los Angeles	WORK PERMIT AT 17 1/2?	IM 17 YRS OLD I RECENTLY MOVED BACK TO CALIFORNIA FROM TEXAS AFTER 5 MONTHS & IM LOOKING FOR A JOB. ONE QUESTION IS IM NOT IN SCHOOL RIGHT NOW BECAUSE I DONT HAVE MY TRANSCRIPTS WITH ME! IF I GET HIRED DO I NEED A WORK PERMIT BECAUSE I TURN 18 IN NOVEMBER. MY BROTHER TELLS ME AT 17 U DONT NEED ONE BUT I NEED TO KNOW IF THIS IS TRUE OR NOT BECAUSE HE WORKED AT 17 WITH NO PERMIT! PLEASE BECAUSE I LIVE IN LOS ANGELES
20090202234515AAGN9cx	Local Businesses;Other - Local Businesses	GROCERY COUPONS ON THE WEB?	I need little help i been trying to find some good grocery coupons,on the web but i haven't found none that i can use if anyone knows a good website where i can find them plz help THANKS ;)
20090202235804AA3xTuq	Local Businesses;United States;Other - US Local Businesses	What is the current price of scrap aluminum per pound in northern california?	I have auto transmission cases and misc alum items i wish to sell to a recyclers
20090203011709AASBxPs	Local Businesses;Indonesia;Batam	My fish tanks very cloudy very dirty very smelly n full of carbon dioxide n decomposed waste wat shld i do?	N/A
20090203012034AA6Uw5q	Local Businesses;Singapore	My fish tanks very cloudy very dirty very smelly n full of carbon dioxide n decomposed waste wat shld i do?	N/A
20090203013103AAieNJm	Local Businesses;Indonesia;Batam	Wat is                       VC?	N/A
20090203002531AAjfZ1S	Local Businesses;United States;Los Angeles	Has anybody heard of greenleaf loan modification? www.greenleaflegalservices.com…	N/A
20090203003804AAEMpbx	Local Businesses;Canada;Other - Canada	Anyone know of a responsible, competitive web design company in Kelowna BC? ?	I'm looking for a competitive web design company in Kelowna BC... I'm not too computer savvy. Any suggestions? Price is of course a factor, but not the determining one. Which company offers the best design solutions?
20090203012857AArD88L	Local Businesses;United Kingdom;London	Euro-Afro-American-Asia Sweepstake LotteryHeadquarters: 1b, Bexon Court CarltonNottingham shire.IS IT TRUE?	I received a message from them that i won  my email through a magnetic raffle from the computer,now they send me $250. for the winner.but they ask me $650. for the delivery charge, until now im thinking if it is true or not maybe if i give this money it become for nothing. please help me what to do?
20060709152612AAFx2dY	Local Businesses;Spain;Barcelona	Como puedo conseguir un trabajo en espa?a siendo  peruano, aqui trabajo como carpintero acustico y musico?	tengo  40 a?os soltero  y  sin  hijos busco  un  trabajo  para ayudar  a mi familia
20060709184430AAWKhfR	Local Businesses;Mexico;Cuernavaca	?Pagaras ms de $1000 por los servicios de un contador pblico?	?Pagaras ms de $1000 por los servicios que te ofrezca un contador pblico por controlar la contabilidad de tu negocio?
